Grid Demand [W],PV Gen [W],Day-ahead Price [EUR/MWh]
-13035.6875,1962.1291666666664,101.93
-15676.791666666666,4908.0875,105.69
-8711.1875,10211.9375,103.55
-11636.3179916318,10110.42259414226,101.0
-9844.333333333334,13633.220833333333,100.09
-6628.4375,15090.645833333334,97.91
-8589.854166666666,13545.204166666666,94.23
1095.7708333333333,31856.908333333333,88.93
931.2291666666666,25722.0375,83.93
-52.16666666666666,21220.291666666668,87.8
-785.9583333333334,21215.75,99.36
-283.7291666666667,18637.95,105.6
-4788.645833333333,8496.016666666666,114.99
-11258.666666666666,3824.425,118.0
-15220.895833333334,211.6875,110.74
-13849.8125,0.0,103.96
-13556.0625,0.0,94.58
-13358.229166666666,0.0,86.8
-13146.73640167364,0.0,78.09
-12822.229166666666,0.0,73.14
-12382.5,0.0,70.87
-12035.125,0.0,67.94
-12671.125,204.86666666666667,71.58
-10936.6875,2648.195833333333,82.54
-5572.3125,9511.529166666667,96.59
-5816.520833333333,15272.2625,97.06
-6308.791666666667,16472.8625,87.29
-19804.104166666668,4019.7125,76.8
-15144.07949790795,8322.928870292886,70.34
-18399.979166666668,6435.104166666667,60.07
-17823.5,7430.583333333333,59.91
-20716.979166666668,5866.391666666666,58.51
-18879.604166666668,6143.004166666667,62.74
-18007.916666666668,7621.283333333334,68.43
-13854.3125,6596.2125,75.49
-14326.666666666666,4355.616666666667,91.46
-13727.604166666666,2229.5291666666667,99.94
-15914.333333333334,376.4125,103.47
-14048.104166666666,0.0,103.97
-15005.416666666666,0.0,101.91
-12270.541666666666,0.0,91.28
-10716.604166666666,0.0,82.34
-10853.1875,0.0,75.06
-10248.5,0.0,75.07
-10707.604166666666,0.0,75.1
-9915.708333333334,0.0,75.07
-10488.270833333334,0.0,79.73
-8314.5625,1971.5916666666667,96.46
-11605.520833333334,3062.1,104.78
-8739.770833333334,9081.708333333334,108.31
-4072.2083333333335,17176.345833333333,104.93
2145.7291666666665,29256.766666666663,100.23
6667.291666666667,43545.42083333333,99.59
13166.770833333334,46400.5125,97.65
22455.854166666668,44490.275,97.36
27496.89583333333,47456.73333333333,96.98
22388.14583333333,42831.50833333333,96.87
19172.979166666668,36924.004166666666,96.37
10623.8125,27559.85,100.29
581.0833333333334,14391.175,113.57
55.02092050209205,11376.598326359832,133.48
-610.4583333333334,3626.625,130.13
-2909.6875,261.05833333333334,120.61
-7124.229166666667,0.0,114.91
-7485.708333333333,0.0,103.65
-10796.833333333334,0.0,89.34
-11180.3125,0.0,83.08
-10740.270833333334,0.0,80.38
-10816.1875,0.0,79.62
