"Time","PVGen"
"2021-07-07 09:00:00","17.2 kW"
"2021-07-07 10:00:00","29.3 kW"
"2021-07-07 11:00:00","43.5 kW"
"2021-07-07 12:00:00","46.4 kW"
"2021-07-07 13:00:00","44.5 kW"
"2021-07-07 14:00:00","47.5 kW"
"2021-07-07 15:00:00","42.8 kW"
"2021-07-07 16:00:00","36.9 kW"
"2021-07-07 17:00:00","27.6 kW"
"2021-07-07 18:00:00","14.4 kW"
"2021-07-07 19:00:00","11.4 kW"
"2021-07-07 20:00:00","3.63 kW"
"2021-07-07 21:00:00","261 W"
"2021-07-07 22:00:00","0 W"
"2021-07-07 23:00:00","0 W"
"2021-07-08 00:00:00","0 W"
"2021-07-08 01:00:00","0 W"
"2021-07-08 02:00:00","0 W"
"2021-07-08 03:00:00","0 W"
"2021-07-08 04:00:00","0 W"
"2021-07-08 05:00:00","0 W"
"2021-07-08 06:00:00","955 W"
"2021-07-08 07:00:00","4.43 kW"
"2021-07-08 08:00:00","5.14 kW"
"2021-07-08 09:00:00","22.7 kW"
"2021-07-08 10:00:00","13.4 kW"
"2021-07-08 11:00:00","8.83 kW"
"2021-07-08 12:00:00","5.45 kW"
"2021-07-08 13:00:00","9.05 kW"
"2021-07-08 14:00:00","9.62 kW"
"2021-07-08 15:00:00","9.84 kW"
"2021-07-08 16:00:00","11.7 kW"
"2021-07-08 17:00:00","10.7 kW"
"2021-07-08 18:00:00","3.65 kW"
"2021-07-08 19:00:00","3.44 kW"
"2021-07-08 20:00:00","672 W"
"2021-07-08 21:00:00","48.8 W"
"2021-07-08 22:00:00","0 W"
"2021-07-08 23:00:00","0 W"
"2021-07-09 00:00:00","0 W"
"2021-07-09 01:00:00","0 W"
"2021-07-09 02:00:00","0 W"
"2021-07-09 03:00:00","0 W"
"2021-07-09 04:00:00","0 W"
"2021-07-09 05:00:00","0 W"
"2021-07-09 06:00:00","258 W"
"2021-07-09 07:00:00","3.13 kW"
"2021-07-09 08:00:00","6.74 kW"
"2021-07-09 09:00:00","15.2 kW"
"2021-07-09 10:00:00","31.3 kW"
"2021-07-09 11:00:00","36.1 kW"
"2021-07-09 12:00:00","22.9 kW"
"2021-07-09 13:00:00","32.2 kW"
"2021-07-09 14:00:00","32.5 kW"
"2021-07-09 15:00:00","41.1 kW"
"2021-07-09 16:00:00","17.8 kW"
