"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]"
"05.07.2021 09:00 - 05.07.2021 10:00","103.55"
"05.07.2021 10:00 - 05.07.2021 11:00","101.00"
"05.07.2021 11:00 - 05.07.2021 12:00","100.09"
"05.07.2021 12:00 - 05.07.2021 13:00","97.91"
"05.07.2021 13:00 - 05.07.2021 14:00","94.23"
"05.07.2021 14:00 - 05.07.2021 15:00","88.93"
"05.07.2021 15:00 - 05.07.2021 16:00","83.93"
"05.07.2021 16:00 - 05.07.2021 17:00","87.80"
"05.07.2021 17:00 - 05.07.2021 18:00","99.36"
"05.07.2021 18:00 - 05.07.2021 19:00","105.60"
"05.07.2021 19:00 - 05.07.2021 20:00","114.99"
"05.07.2021 20:00 - 05.07.2021 21:00","118.00"
"05.07.2021 21:00 - 05.07.2021 22:00","110.74"
"05.07.2021 22:00 - 05.07.2021 23:00","103.96"
"05.07.2021 23:00 - 06.07.2021 00:00","94.58"
"06.07.2021 00:00 - 06.07.2021 01:00","86.80"
"06.07.2021 01:00 - 06.07.2021 02:00","78.09"
"06.07.2021 02:00 - 06.07.2021 03:00","73.14"
"06.07.2021 03:00 - 06.07.2021 04:00","70.87"
"06.07.2021 04:00 - 06.07.2021 05:00","67.94"
"06.07.2021 05:00 - 06.07.2021 06:00","71.58"
"06.07.2021 06:00 - 06.07.2021 07:00","82.54"
"06.07.2021 07:00 - 06.07.2021 08:00","96.59"
"06.07.2021 08:00 - 06.07.2021 09:00","97.06"
"06.07.2021 09:00 - 06.07.2021 10:00","87.29"
"06.07.2021 10:00 - 06.07.2021 11:00","76.80"
"06.07.2021 11:00 - 06.07.2021 12:00","70.34"
"06.07.2021 12:00 - 06.07.2021 13:00","60.07"
"06.07.2021 13:00 - 06.07.2021 14:00","59.91"
"06.07.2021 14:00 - 06.07.2021 15:00","58.51"
"06.07.2021 15:00 - 06.07.2021 16:00","62.74"
"06.07.2021 16:00 - 06.07.2021 17:00","68.43"
"06.07.2021 17:00 - 06.07.2021 18:00","75.49"
"06.07.2021 18:00 - 06.07.2021 19:00","91.46"
"06.07.2021 19:00 - 06.07.2021 20:00","99.94"
"06.07.2021 20:00 - 06.07.2021 21:00","103.47"
"06.07.2021 21:00 - 06.07.2021 22:00","103.97"
"06.07.2021 22:00 - 06.07.2021 23:00","101.91"
"06.07.2021 23:00 - 07.07.2021 00:00","91.28"
"07.07.2021 00:00 - 07.07.2021 01:00","82.34"
"07.07.2021 01:00 - 07.07.2021 02:00","75.06"
"07.07.2021 02:00 - 07.07.2021 03:00","75.07"
"07.07.2021 03:00 - 07.07.2021 04:00","75.10"
"07.07.2021 04:00 - 07.07.2021 05:00","75.07"
"07.07.2021 05:00 - 07.07.2021 06:00","79.73"
"07.07.2021 06:00 - 07.07.2021 07:00","96.46"
"07.07.2021 07:00 - 07.07.2021 08:00","104.78"
"07.07.2021 08:00 - 07.07.2021 09:00","108.31"
"07.07.2021 09:00 - 07.07.2021 10:00","104.93"
"07.07.2021 10:00 - 07.07.2021 11:00","100.23"
"07.07.2021 11:00 - 07.07.2021 12:00","99.59"
"07.07.2021 12:00 - 07.07.2021 13:00","97.65"
"07.07.2021 13:00 - 07.07.2021 14:00","97.36"
"07.07.2021 14:00 - 07.07.2021 15:00","96.98"
"07.07.2021 15:00 - 07.07.2021 16:00","96.87"
"07.07.2021 16:00 - 07.07.2021 17:00","96.37"
"07.07.2021 17:00 - 07.07.2021 18:00","100.29"
"07.07.2021 18:00 - 07.07.2021 19:00","113.57"
"07.07.2021 19:00 - 07.07.2021 20:00","133.48"
"07.07.2021 20:00 - 07.07.2021 21:00","130.13"
"07.07.2021 21:00 - 07.07.2021 22:00","120.61"
"07.07.2021 22:00 - 07.07.2021 23:00","114.91"
"07.07.2021 23:00 - 08.07.2021 00:00","103.65"
"08.07.2021 00:00 - 08.07.2021 01:00","89.34"
"08.07.2021 01:00 - 08.07.2021 02:00","83.08"
"08.07.2021 02:00 - 08.07.2021 03:00","80.38"
"08.07.2021 03:00 - 08.07.2021 04:00","79.62"
"08.07.2021 04:00 - 08.07.2021 05:00","79.49"
"08.07.2021 05:00 - 08.07.2021 06:00","82.46"
"08.07.2021 06:00 - 08.07.2021 07:00","105.92"
"08.07.2021 07:00 - 08.07.2021 08:00","120.46"
"08.07.2021 08:00 - 08.07.2021 09:00","121.69"
"08.07.2021 09:00 - 08.07.2021 10:00","117.93"
"08.07.2021 10:00 - 08.07.2021 11:00","110.01"
"08.07.2021 11:00 - 08.07.2021 12:00","108.36"
"08.07.2021 12:00 - 08.07.2021 13:00","105.07"
"08.07.2021 13:00 - 08.07.2021 14:00","102.80"
"08.07.2021 14:00 - 08.07.2021 15:00","106.99"
"08.07.2021 15:00 - 08.07.2021 16:00","115.69"
"08.07.2021 16:00 - 08.07.2021 17:00","117.60"
"08.07.2021 17:00 - 08.07.2021 18:00","123.29"
"08.07.2021 18:00 - 08.07.2021 19:00","137.99"
"08.07.2021 19:00 - 08.07.2021 20:00","150.00"
"08.07.2021 20:00 - 08.07.2021 21:00","147.00"
"08.07.2021 21:00 - 08.07.2021 22:00","124.10"
"08.07.2021 22:00 - 08.07.2021 23:00","111.04"
"08.07.2021 23:00 - 09.07.2021 00:00","96.70"
"09.07.2021 00:00 - 09.07.2021 01:00","87.97"
"09.07.2021 01:00 - 09.07.2021 02:00","78.07"
"09.07.2021 02:00 - 09.07.2021 03:00","76.84"
"09.07.2021 03:00 - 09.07.2021 04:00","75.15"
"09.07.2021 04:00 - 09.07.2021 05:00","75.24"
"09.07.2021 05:00 - 09.07.2021 06:00","77.81"
"09.07.2021 06:00 - 09.07.2021 07:00","92.88"
"09.07.2021 07:00 - 09.07.2021 08:00","104.49"
"09.07.2021 08:00 - 09.07.2021 09:00","107.97"
"09.07.2021 09:00 - 09.07.2021 10:00","104.62"
"09.07.2021 10:00 - 09.07.2021 11:00","105.46"
"09.07.2021 11:00 - 09.07.2021 12:00","102.38"
"09.07.2021 12:00 - 09.07.2021 13:00","95.00"
"09.07.2021 13:00 - 09.07.2021 14:00","91.92"
"09.07.2021 14:00 - 09.07.2021 15:00","87.00"
"09.07.2021 15:00 - 09.07.2021 16:00","83.21"
"09.07.2021 16:00 - 09.07.2021 17:00","82.50"
"09.07.2021 17:00 - 09.07.2021 18:00","88.15"
"09.07.2021 18:00 - 09.07.2021 19:00","94.47"
"09.07.2021 19:00 - 09.07.2021 20:00","97.68"
"09.07.2021 20:00 - 09.07.2021 21:00","98.25"
"09.07.2021 21:00 - 09.07.2021 22:00","98.43"
"09.07.2021 22:00 - 09.07.2021 23:00","96.69"
"09.07.2021 23:00 - 10.07.2021 00:00","91.98"
"10.07.2021 00:00 - 10.07.2021 01:00","84.73"
"10.07.2021 01:00 - 10.07.2021 02:00","80.86"
"10.07.2021 02:00 - 10.07.2021 03:00","75.75"
"10.07.2021 03:00 - 10.07.2021 04:00","74.04"
"10.07.2021 04:00 - 10.07.2021 05:00","72.87"
"10.07.2021 05:00 - 10.07.2021 06:00","72.45"
"10.07.2021 06:00 - 10.07.2021 07:00","74.02"
"10.07.2021 07:00 - 10.07.2021 08:00","80.02"
"10.07.2021 08:00 - 10.07.2021 09:00","80.41"
"10.07.2021 09:00 - 10.07.2021 10:00","79.22"
"10.07.2021 10:00 - 10.07.2021 11:00","74.73"
"10.07.2021 11:00 - 10.07.2021 12:00","68.50"
"10.07.2021 12:00 - 10.07.2021 13:00","70.03"
"10.07.2021 13:00 - 10.07.2021 14:00","65.81"
"10.07.2021 14:00 - 10.07.2021 15:00","68.83"
"10.07.2021 15:00 - 10.07.2021 16:00","70.40"
"10.07.2021 16:00 - 10.07.2021 17:00","73.00"
"10.07.2021 17:00 - 10.07.2021 18:00","81.31"
"10.07.2021 18:00 - 10.07.2021 19:00","93.16"
"10.07.2021 19:00 - 10.07.2021 20:00","97.91"
"10.07.2021 20:00 - 10.07.2021 21:00","99.19"
"10.07.2021 21:00 - 10.07.2021 22:00","100.05"
"10.07.2021 22:00 - 10.07.2021 23:00","98.50"
"10.07.2021 23:00 - 11.07.2021 00:00","95.00"
"11.07.2021 00:00 - 11.07.2021 01:00","87.40"
"11.07.2021 01:00 - 11.07.2021 02:00","79.09"
"11.07.2021 02:00 - 11.07.2021 03:00","75.14"
"11.07.2021 03:00 - 11.07.2021 04:00","70.13"
"11.07.2021 04:00 - 11.07.2021 05:00","68.72"
"11.07.2021 05:00 - 11.07.2021 06:00","68.69"
"11.07.2021 06:00 - 11.07.2021 07:00","68.63"
"11.07.2021 07:00 - 11.07.2021 08:00","70.02"
"11.07.2021 08:00 - 11.07.2021 09:00","71.56"
"11.07.2021 09:00 - 11.07.2021 10:00","72.00"
"11.07.2021 10:00 - 11.07.2021 11:00","71.28"
"11.07.2021 11:00 - 11.07.2021 12:00","73.45"
"11.07.2021 12:00 - 11.07.2021 13:00","73.00"
"11.07.2021 13:00 - 11.07.2021 14:00","68.09"
"11.07.2021 14:00 - 11.07.2021 15:00","64.00"
"11.07.2021 15:00 - 11.07.2021 16:00","65.22"
"11.07.2021 16:00 - 11.07.2021 17:00","67.98"
"11.07.2021 17:00 - 11.07.2021 18:00","73.75"
"11.07.2021 18:00 - 11.07.2021 19:00","80.85"
"11.07.2021 19:00 - 11.07.2021 20:00","94.25"
"11.07.2021 20:00 - 11.07.2021 21:00","99.76"
"11.07.2021 21:00 - 11.07.2021 22:00","103.10"
"11.07.2021 22:00 - 11.07.2021 23:00","103.63"
"11.07.2021 23:00 - 12.07.2021 00:00","96.02"
"12.07.2021 00:00 - 12.07.2021 01:00","83.40"
"12.07.2021 01:00 - 12.07.2021 02:00","76.04"
"12.07.2021 02:00 - 12.07.2021 03:00","74.00"
"12.07.2021 03:00 - 12.07.2021 04:00","72.92"
"12.07.2021 04:00 - 12.07.2021 05:00","73.06"
"12.07.2021 05:00 - 12.07.2021 06:00","76.12"
"12.07.2021 06:00 - 12.07.2021 07:00","94.83"
"12.07.2021 07:00 - 12.07.2021 08:00","105.62"
"12.07.2021 08:00 - 12.07.2021 09:00","106.01"
"12.07.2021 09:00 - 12.07.2021 10:00","101.80"
"12.07.2021 10:00 - 12.07.2021 11:00","95.94"
"12.07.2021 11:00 - 12.07.2021 12:00","94.99"
"12.07.2021 12:00 - 12.07.2021 13:00","91.16"
"12.07.2021 13:00 - 12.07.2021 14:00","87.00"
"12.07.2021 14:00 - 12.07.2021 15:00","86.47"
"12.07.2021 15:00 - 12.07.2021 16:00","88.89"
"12.07.2021 16:00 - 12.07.2021 17:00","91.70"
"12.07.2021 17:00 - 12.07.2021 18:00","99.93"
"12.07.2021 18:00 - 12.07.2021 19:00","108.45"
"12.07.2021 19:00 - 12.07.2021 20:00","120.49"
"12.07.2021 20:00 - 12.07.2021 21:00","112.41"
"12.07.2021 21:00 - 12.07.2021 22:00","103.90"
"12.07.2021 22:00 - 12.07.2021 23:00","102.26"
"12.07.2021 23:00 - 13.07.2021 00:00","95.44"
"13.07.2021 00:00 - 13.07.2021 01:00","88.61"
"13.07.2021 01:00 - 13.07.2021 02:00","83.40"
"13.07.2021 02:00 - 13.07.2021 03:00","81.02"
"13.07.2021 03:00 - 13.07.2021 04:00","76.96"
"13.07.2021 04:00 - 13.07.2021 05:00","76.95"
"13.07.2021 05:00 - 13.07.2021 06:00","84.47"
"13.07.2021 06:00 - 13.07.2021 07:00","98.01"
"13.07.2021 07:00 - 13.07.2021 08:00","104.03"
"13.07.2021 08:00 - 13.07.2021 09:00","109.88"
