"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]"
"20.07.2021 05:00 - 20.07.2021 06:00","80.90"
"20.07.2021 06:00 - 20.07.2021 07:00","99.03"
"20.07.2021 07:00 - 20.07.2021 08:00","114.85"
"20.07.2021 08:00 - 20.07.2021 09:00","111.36"
"20.07.2021 09:00 - 20.07.2021 10:00","102.11"
"20.07.2021 10:00 - 20.07.2021 11:00","93.01"
"20.07.2021 11:00 - 20.07.2021 12:00","88.92"
"20.07.2021 12:00 - 20.07.2021 13:00","85.00"
"20.07.2021 13:00 - 20.07.2021 14:00","78.30"
"20.07.2021 14:00 - 20.07.2021 15:00","75.87"
"20.07.2021 15:00 - 20.07.2021 16:00","78.45"
"20.07.2021 16:00 - 20.07.2021 17:00","80.30"
"20.07.2021 17:00 - 20.07.2021 18:00","86.52"
"20.07.2021 18:00 - 20.07.2021 19:00","98.34"
"20.07.2021 19:00 - 20.07.2021 20:00","106.00"
"20.07.2021 20:00 - 20.07.2021 21:00","112.70"
"20.07.2021 21:00 - 20.07.2021 22:00","109.97"
"20.07.2021 22:00 - 20.07.2021 23:00","106.00"
"20.07.2021 23:00 - 21.07.2021 00:00","91.00"
"21.07.2021 00:00 - 21.07.2021 01:00","82.01"
"21.07.2021 01:00 - 21.07.2021 02:00","78.18"
"21.07.2021 02:00 - 21.07.2021 03:00","76.15"
"21.07.2021 03:00 - 21.07.2021 04:00","76.50"
"21.07.2021 04:00 - 21.07.2021 05:00","76.30"
"21.07.2021 05:00 - 21.07.2021 06:00","80.00"
"21.07.2021 06:00 - 21.07.2021 07:00","93.26"
"21.07.2021 07:00 - 21.07.2021 08:00","106.56"
"21.07.2021 08:00 - 21.07.2021 09:00","108.45"
"21.07.2021 09:00 - 21.07.2021 10:00","95.91"
"21.07.2021 10:00 - 21.07.2021 11:00","87.07"
"21.07.2021 11:00 - 21.07.2021 12:00","79.98"
"21.07.2021 12:00 - 21.07.2021 13:00","79.61"
"21.07.2021 13:00 - 21.07.2021 14:00","76.44"
"21.07.2021 14:00 - 21.07.2021 15:00","75.93"
"21.07.2021 15:00 - 21.07.2021 16:00","77.04"
"21.07.2021 16:00 - 21.07.2021 17:00","82.63"
"21.07.2021 17:00 - 21.07.2021 18:00","90.73"
"21.07.2021 18:00 - 21.07.2021 19:00","101.78"
"21.07.2021 19:00 - 21.07.2021 20:00","113.59"
"21.07.2021 20:00 - 21.07.2021 21:00","111.44"
"21.07.2021 21:00 - 21.07.2021 22:00","110.00"
"21.07.2021 22:00 - 21.07.2021 23:00","104.59"
"21.07.2021 23:00 - 22.07.2021 00:00","95.50"
"22.07.2021 00:00 - 22.07.2021 01:00","83.01"
"22.07.2021 01:00 - 22.07.2021 02:00","77.36"
"22.07.2021 02:00 - 22.07.2021 03:00","75.99"
"22.07.2021 03:00 - 22.07.2021 04:00","75.01"
"22.07.2021 04:00 - 22.07.2021 05:00","74.12"
"22.07.2021 05:00 - 22.07.2021 06:00","78.10"
"22.07.2021 06:00 - 22.07.2021 07:00","95.06"
"22.07.2021 07:00 - 22.07.2021 08:00","103.77"
"22.07.2021 08:00 - 22.07.2021 09:00","105.25"
"22.07.2021 09:00 - 22.07.2021 10:00","96.92"
"22.07.2021 10:00 - 22.07.2021 11:00","88.08"
"22.07.2021 11:00 - 22.07.2021 12:00","85.37"
"22.07.2021 12:00 - 22.07.2021 13:00","81.32"
"22.07.2021 13:00 - 22.07.2021 14:00","78.59"
"22.07.2021 14:00 - 22.07.2021 15:00","75.64"
"22.07.2021 15:00 - 22.07.2021 16:00","74.00"
"22.07.2021 16:00 - 22.07.2021 17:00","79.92"
"22.07.2021 17:00 - 22.07.2021 18:00","87.98"
"22.07.2021 18:00 - 22.07.2021 19:00","95.96"
"22.07.2021 19:00 - 22.07.2021 20:00","102.00"
"22.07.2021 20:00 - 22.07.2021 21:00","105.00"
"22.07.2021 21:00 - 22.07.2021 22:00","102.03"
"22.07.2021 22:00 - 22.07.2021 23:00","97.06"
"22.07.2021 23:00 - 23.07.2021 00:00","83.94"
"23.07.2021 00:00 - 23.07.2021 01:00","86.03"
"23.07.2021 01:00 - 23.07.2021 02:00","80.10"
"23.07.2021 02:00 - 23.07.2021 03:00","76.49"
"23.07.2021 03:00 - 23.07.2021 04:00","75.10"
"23.07.2021 04:00 - 23.07.2021 05:00","76.67"
"23.07.2021 05:00 - 23.07.2021 06:00","83.03"
"23.07.2021 06:00 - 23.07.2021 07:00","94.42"
"23.07.2021 07:00 - 23.07.2021 08:00","105.63"
"23.07.2021 08:00 - 23.07.2021 09:00","106.91"
"23.07.2021 09:00 - 23.07.2021 10:00","98.06"
"23.07.2021 10:00 - 23.07.2021 11:00","93.01"
"23.07.2021 11:00 - 23.07.2021 12:00","89.95"
"23.07.2021 12:00 - 23.07.2021 13:00","88.09"
"23.07.2021 13:00 - 23.07.2021 14:00","79.19"
"23.07.2021 14:00 - 23.07.2021 15:00","74.51"
"23.07.2021 15:00 - 23.07.2021 16:00","75.01"
"23.07.2021 16:00 - 23.07.2021 17:00","75.80"
"23.07.2021 17:00 - 23.07.2021 18:00","85.45"
"23.07.2021 18:00 - 23.07.2021 19:00","93.55"
"23.07.2021 19:00 - 23.07.2021 20:00","103.42"
"23.07.2021 20:00 - 23.07.2021 21:00","106.01"
"23.07.2021 21:00 - 23.07.2021 22:00","99.72"
"23.07.2021 22:00 - 23.07.2021 23:00","95.15"
"23.07.2021 23:00 - 24.07.2021 00:00","89.92"
"24.07.2021 00:00 - 24.07.2021 01:00","85.00"
"24.07.2021 01:00 - 24.07.2021 02:00","80.42"
"24.07.2021 02:00 - 24.07.2021 03:00","76.30"
"24.07.2021 03:00 - 24.07.2021 04:00","71.28"
"24.07.2021 04:00 - 24.07.2021 05:00","70.33"
"24.07.2021 05:00 - 24.07.2021 06:00","69.87"
"24.07.2021 06:00 - 24.07.2021 07:00","71.30"
"24.07.2021 07:00 - 24.07.2021 08:00","75.86"
"24.07.2021 08:00 - 24.07.2021 09:00","78.30"
"24.07.2021 09:00 - 24.07.2021 10:00","78.81"
"24.07.2021 10:00 - 24.07.2021 11:00","75.53"
"24.07.2021 11:00 - 24.07.2021 12:00","72.03"
"24.07.2021 12:00 - 24.07.2021 13:00","70.30"
"24.07.2021 13:00 - 24.07.2021 14:00","64.04"
"24.07.2021 14:00 - 24.07.2021 15:00","63.10"
"24.07.2021 15:00 - 24.07.2021 16:00","65.01"
"24.07.2021 16:00 - 24.07.2021 17:00","68.91"
"24.07.2021 17:00 - 24.07.2021 18:00","77.72"
"24.07.2021 18:00 - 24.07.2021 19:00","85.07"
"24.07.2021 19:00 - 24.07.2021 20:00","90.21"
"24.07.2021 20:00 - 24.07.2021 21:00","90.04"
"24.07.2021 21:00 - 24.07.2021 22:00","87.00"
"24.07.2021 22:00 - 24.07.2021 23:00","79.50"
"24.07.2021 23:00 - 25.07.2021 00:00","72.40"
"25.07.2021 00:00 - 25.07.2021 01:00","59.06"
"25.07.2021 01:00 - 25.07.2021 02:00","54.24"
"25.07.2021 02:00 - 25.07.2021 03:00","53.51"
"25.07.2021 03:00 - 25.07.2021 04:00","49.06"
"25.07.2021 04:00 - 25.07.2021 05:00","49.09"
"25.07.2021 05:00 - 25.07.2021 06:00","49.10"
"25.07.2021 06:00 - 25.07.2021 07:00","49.08"
"25.07.2021 07:00 - 25.07.2021 08:00","49.15"
"25.07.2021 08:00 - 25.07.2021 09:00","53.58"
"25.07.2021 09:00 - 25.07.2021 10:00","52.41"
"25.07.2021 10:00 - 25.07.2021 11:00","49.23"
"25.07.2021 11:00 - 25.07.2021 12:00","50.30"
"25.07.2021 12:00 - 25.07.2021 13:00","49.90"
"25.07.2021 13:00 - 25.07.2021 14:00","48.56"
"25.07.2021 14:00 - 25.07.2021 15:00","46.74"
"25.07.2021 15:00 - 25.07.2021 16:00","47.85"
"25.07.2021 16:00 - 25.07.2021 17:00","49.65"
"25.07.2021 17:00 - 25.07.2021 18:00","67.17"
"25.07.2021 18:00 - 25.07.2021 19:00","80.40"
"25.07.2021 19:00 - 25.07.2021 20:00","87.77"
"25.07.2021 20:00 - 25.07.2021 21:00","91.46"
"25.07.2021 21:00 - 25.07.2021 22:00","91.85"
"25.07.2021 22:00 - 25.07.2021 23:00","91.86"
"25.07.2021 23:00 - 26.07.2021 00:00","85.93"
"26.07.2021 00:00 - 26.07.2021 01:00","75.40"
"26.07.2021 01:00 - 26.07.2021 02:00","72.60"
"26.07.2021 02:00 - 26.07.2021 03:00","69.94"
"26.07.2021 03:00 - 26.07.2021 04:00","69.07"
"26.07.2021 04:00 - 26.07.2021 05:00","72.44"
"26.07.2021 05:00 - 26.07.2021 06:00","76.44"
"26.07.2021 06:00 - 26.07.2021 07:00","90.54"
"26.07.2021 07:00 - 26.07.2021 08:00","99.96"
"26.07.2021 08:00 - 26.07.2021 09:00","102.00"
"26.07.2021 09:00 - 26.07.2021 10:00","99.06"
"26.07.2021 10:00 - 26.07.2021 11:00","91.68"
"26.07.2021 11:00 - 26.07.2021 12:00","89.98"
"26.07.2021 12:00 - 26.07.2021 13:00","86.83"
"26.07.2021 13:00 - 26.07.2021 14:00","82.40"
"26.07.2021 14:00 - 26.07.2021 15:00","81.99"
"26.07.2021 15:00 - 26.07.2021 16:00","83.43"
"26.07.2021 16:00 - 26.07.2021 17:00","83.41"
"26.07.2021 17:00 - 26.07.2021 18:00","91.73"
"26.07.2021 18:00 - 26.07.2021 19:00","103.41"
"26.07.2021 19:00 - 26.07.2021 20:00","109.00"
"26.07.2021 20:00 - 26.07.2021 21:00","109.00"
"26.07.2021 21:00 - 26.07.2021 22:00","104.82"
"26.07.2021 22:00 - 26.07.2021 23:00","95.00"
"26.07.2021 23:00 - 27.07.2021 00:00","83.94"
"27.07.2021 00:00 - 27.07.2021 01:00","80.08"
"27.07.2021 01:00 - 27.07.2021 02:00","75.30"
"27.07.2021 02:00 - 27.07.2021 03:00","72.55"
"27.07.2021 03:00 - 27.07.2021 04:00","72.17"
"27.07.2021 04:00 - 27.07.2021 05:00","71.02"
"27.07.2021 05:00 - 27.07.2021 06:00","76.02"
"27.07.2021 06:00 - 27.07.2021 07:00","91.15"
"27.07.2021 07:00 - 27.07.2021 08:00","99.92"
"27.07.2021 08:00 - 27.07.2021 09:00","100.98"
"27.07.2021 09:00 - 27.07.2021 10:00","89.27"
"27.07.2021 10:00 - 27.07.2021 11:00","84.08"
"27.07.2021 11:00 - 27.07.2021 12:00","83.67"
"27.07.2021 12:00 - 27.07.2021 13:00","83.00"
"27.07.2021 13:00 - 27.07.2021 14:00","79.43"
"27.07.2021 14:00 - 27.07.2021 15:00","78.00"
"27.07.2021 15:00 - 27.07.2021 16:00","79.80"
"27.07.2021 16:00 - 27.07.2021 17:00","82.86"
"27.07.2021 17:00 - 27.07.2021 18:00","92.75"
"27.07.2021 18:00 - 27.07.2021 19:00","101.44"
"27.07.2021 19:00 - 27.07.2021 20:00","111.94"
"27.07.2021 20:00 - 27.07.2021 21:00","107.79"
"27.07.2021 21:00 - 27.07.2021 22:00","104.74"
"27.07.2021 22:00 - 27.07.2021 23:00","93.99"
"27.07.2021 23:00 - 28.07.2021 00:00","81.42"
"28.07.2021 00:00 - 28.07.2021 01:00","82.59"
"28.07.2021 01:00 - 28.07.2021 02:00","75.41"
"28.07.2021 02:00 - 28.07.2021 03:00","71.10"
"28.07.2021 03:00 - 28.07.2021 04:00","74.04"
"28.07.2021 04:00 - 28.07.2021 05:00","74.41"
"28.07.2021 05:00 - 28.07.2021 06:00","76.81"
"28.07.2021 06:00 - 28.07.2021 07:00","94.92"
"28.07.2021 07:00 - 28.07.2021 08:00","109.29"
"28.07.2021 08:00 - 28.07.2021 09:00","111.86"
"28.07.2021 09:00 - 28.07.2021 10:00","94.95"
"28.07.2021 10:00 - 28.07.2021 11:00","85.08"
"28.07.2021 11:00 - 28.07.2021 12:00","80.01"
"28.07.2021 12:00 - 28.07.2021 13:00","71.03"
"28.07.2021 13:00 - 28.07.2021 14:00","60.79"
"28.07.2021 14:00 - 28.07.2021 15:00","58.62"
"28.07.2021 15:00 - 28.07.2021 16:00","56.36"
"28.07.2021 16:00 - 28.07.2021 17:00","54.60"
"28.07.2021 17:00 - 28.07.2021 18:00","64.14"
"28.07.2021 18:00 - 28.07.2021 19:00","81.29"
"28.07.2021 19:00 - 28.07.2021 20:00","91.13"
"28.07.2021 20:00 - 28.07.2021 21:00","94.93"
"28.07.2021 21:00 - 28.07.2021 22:00","88.26"
"28.07.2021 22:00 - 28.07.2021 23:00","83.02"
"28.07.2021 23:00 - 29.07.2021 00:00","71.49"
"29.07.2021 00:00 - 29.07.2021 01:00","55.58"
"29.07.2021 01:00 - 29.07.2021 02:00","50.10"
"29.07.2021 02:00 - 29.07.2021 03:00","45.98"
"29.07.2021 03:00 - 29.07.2021 04:00","43.43"
"29.07.2021 04:00 - 29.07.2021 05:00","44.71"
"29.07.2021 05:00 - 29.07.2021 06:00","50.85"
"29.07.2021 06:00 - 29.07.2021 07:00","59.67"
"29.07.2021 07:00 - 29.07.2021 08:00","69.23"
"29.07.2021 08:00 - 29.07.2021 09:00","65.94"
"29.07.2021 09:00 - 29.07.2021 10:00","48.59"
"29.07.2021 10:00 - 29.07.2021 11:00","9.83"
"29.07.2021 11:00 - 29.07.2021 12:00","0.07"
"29.07.2021 12:00 - 29.07.2021 13:00","0.00"
"29.07.2021 13:00 - 29.07.2021 14:00","-4.95"
"29.07.2021 14:00 - 29.07.2021 15:00","-8.86"
"29.07.2021 15:00 - 29.07.2021 16:00","-1.09"
"29.07.2021 16:00 - 29.07.2021 17:00","0.09"
"29.07.2021 17:00 - 29.07.2021 18:00","44.69"
"29.07.2021 18:00 - 29.07.2021 19:00","74.98"
"29.07.2021 19:00 - 29.07.2021 20:00","91.35"
"29.07.2021 20:00 - 29.07.2021 21:00","94.26"
"29.07.2021 21:00 - 29.07.2021 22:00","95.98"
"29.07.2021 22:00 - 29.07.2021 23:00","92.95"
"29.07.2021 23:00 - 30.07.2021 00:00","82.95"
"30.07.2021 00:00 - 30.07.2021 01:00","62.13"
"30.07.2021 01:00 - 30.07.2021 02:00","52.94"
"30.07.2021 02:00 - 30.07.2021 03:00","50.07"
"30.07.2021 03:00 - 30.07.2021 04:00","46.86"
"30.07.2021 04:00 - 30.07.2021 05:00","46.21"
"30.07.2021 05:00 - 30.07.2021 06:00","56.89"
"30.07.2021 06:00 - 30.07.2021 07:00","72.10"
"30.07.2021 07:00 - 30.07.2021 08:00","78.73"
"30.07.2021 08:00 - 30.07.2021 09:00","80.14"
"30.07.2021 09:00 - 30.07.2021 10:00","63.11"
"30.07.2021 10:00 - 30.07.2021 11:00","56.18"
"30.07.2021 11:00 - 30.07.2021 12:00","50.31"
"30.07.2021 12:00 - 30.07.2021 13:00","48.70"
"30.07.2021 13:00 - 30.07.2021 14:00","43.48"
"30.07.2021 14:00 - 30.07.2021 15:00","40.27"
"30.07.2021 15:00 - 30.07.2021 16:00","43.50"
"30.07.2021 16:00 - 30.07.2021 17:00","46.86"
"30.07.2021 17:00 - 30.07.2021 18:00","63.81"
"30.07.2021 18:00 - 30.07.2021 19:00","75.26"
"30.07.2021 19:00 - 30.07.2021 20:00","106.00"
"30.07.2021 20:00 - 30.07.2021 21:00","116.17"
"30.07.2021 21:00 - 30.07.2021 22:00","101.00"
"30.07.2021 22:00 - 30.07.2021 23:00","85.00"
"30.07.2021 23:00 - 31.07.2021 00:00","69.62"
"31.07.2021 00:00 - 31.07.2021 01:00","59.00"
"31.07.2021 01:00 - 31.07.2021 02:00","53.63"
"31.07.2021 02:00 - 31.07.2021 03:00","41.76"
"31.07.2021 03:00 - 31.07.2021 04:00","38.95"
"31.07.2021 04:00 - 31.07.2021 05:00","35.92"
"31.07.2021 05:00 - 31.07.2021 06:00","33.37"
"31.07.2021 06:00 - 31.07.2021 07:00","40.43"
"31.07.2021 07:00 - 31.07.2021 08:00","40.57"
"31.07.2021 08:00 - 31.07.2021 09:00","36.21"
"31.07.2021 09:00 - 31.07.2021 10:00","14.76"
"31.07.2021 10:00 - 31.07.2021 11:00","0.01"
"31.07.2021 11:00 - 31.07.2021 12:00","-0.07"
"31.07.2021 12:00 - 31.07.2021 13:00","-9.94"
"31.07.2021 13:00 - 31.07.2021 14:00","-20.03"
"31.07.2021 14:00 - 31.07.2021 15:00","-20.06"
"31.07.2021 15:00 - 31.07.2021 16:00","-18.96"
"31.07.2021 16:00 - 31.07.2021 17:00","-1.38"
"31.07.2021 17:00 - 31.07.2021 18:00","9.44"
"31.07.2021 18:00 - 31.07.2021 19:00","50.61"
"31.07.2021 19:00 - 31.07.2021 20:00","65.53"
"31.07.2021 20:00 - 31.07.2021 21:00","69.93"
"31.07.2021 21:00 - 31.07.2021 22:00","70.91"
"31.07.2021 22:00 - 31.07.2021 23:00","65.56"
"31.07.2021 23:00 - 01.08.2021 00:00","59.60"
"01.08.2021 00:00 - 01.08.2021 01:00","52.82"
"01.08.2021 01:00 - 01.08.2021 02:00","49.33"
"01.08.2021 02:00 - 01.08.2021 03:00","49.42"
"01.08.2021 03:00 - 01.08.2021 04:00","49.79"
"01.08.2021 04:00 - 01.08.2021 05:00","50.00"
"01.08.2021 05:00 - 01.08.2021 06:00","52.35"
"01.08.2021 06:00 - 01.08.2021 07:00","50.02"
"01.08.2021 07:00 - 01.08.2021 08:00","56.89"
"01.08.2021 08:00 - 01.08.2021 09:00","57.79"
"01.08.2021 09:00 - 01.08.2021 10:00","57.76"
"01.08.2021 10:00 - 01.08.2021 11:00","59.16"
"01.08.2021 11:00 - 01.08.2021 12:00","59.25"
"01.08.2021 12:00 - 01.08.2021 13:00","60.10"
"01.08.2021 13:00 - 01.08.2021 14:00","56.03"
"01.08.2021 14:00 - 01.08.2021 15:00","50.06"
"01.08.2021 15:00 - 01.08.2021 16:00","48.94"
"01.08.2021 16:00 - 01.08.2021 17:00","50.87"
"01.08.2021 17:00 - 01.08.2021 18:00","60.59"
"01.08.2021 18:00 - 01.08.2021 19:00","68.52"
"01.08.2021 19:00 - 01.08.2021 20:00","75.92"
"01.08.2021 20:00 - 01.08.2021 21:00","80.00"
"01.08.2021 21:00 - 01.08.2021 22:00","76.01"
"01.08.2021 22:00 - 01.08.2021 23:00","72.93"
"01.08.2021 23:00 - 02.08.2021 00:00","60.30"
"02.08.2021 00:00 - 02.08.2021 01:00","61.56"
"02.08.2021 01:00 - 02.08.2021 02:00","56.05"
"02.08.2021 02:00 - 02.08.2021 03:00","54.71"
"02.08.2021 03:00 - 02.08.2021 04:00","51.24"
"02.08.2021 04:00 - 02.08.2021 05:00","51.26"
"02.08.2021 05:00 - 02.08.2021 06:00","59.24"
"02.08.2021 06:00 - 02.08.2021 07:00","82.18"
"02.08.2021 07:00 - 02.08.2021 08:00","89.92"
"02.08.2021 08:00 - 02.08.2021 09:00","97.47"
"02.08.2021 09:00 - 02.08.2021 10:00","87.74"
"02.08.2021 10:00 - 02.08.2021 11:00","82.80"
"02.08.2021 11:00 - 02.08.2021 12:00","79.95"
"02.08.2021 12:00 - 02.08.2021 13:00","76.83"
"02.08.2021 13:00 - 02.08.2021 14:00","70.08"
"02.08.2021 14:00 - 02.08.2021 15:00","64.20"
"02.08.2021 15:00 - 02.08.2021 16:00","68.67"
"02.08.2021 16:00 - 02.08.2021 17:00","69.97"
"02.08.2021 17:00 - 02.08.2021 18:00","82.35"
"02.08.2021 18:00 - 02.08.2021 19:00","95.60"
"02.08.2021 19:00 - 02.08.2021 20:00","108.41"
"02.08.2021 20:00 - 02.08.2021 21:00","116.70"
"02.08.2021 21:00 - 02.08.2021 22:00","117.52"
"02.08.2021 22:00 - 02.08.2021 23:00","104.97"
"02.08.2021 23:00 - 03.08.2021 00:00","92.91"
"03.08.2021 00:00 - 03.08.2021 01:00","85.42"
"03.08.2021 01:00 - 03.08.2021 02:00","78.59"
"03.08.2021 02:00 - 03.08.2021 03:00","77.79"
"03.08.2021 03:00 - 03.08.2021 04:00","75.03"
"03.08.2021 04:00 - 03.08.2021 05:00","75.01"
"03.08.2021 05:00 - 03.08.2021 06:00","78.78"
"03.08.2021 06:00 - 03.08.2021 07:00","100.82"
"03.08.2021 07:00 - 03.08.2021 08:00","130.00"
"03.08.2021 08:00 - 03.08.2021 09:00","118.52"
"03.08.2021 09:00 - 03.08.2021 10:00","104.06"
"03.08.2021 10:00 - 03.08.2021 11:00","96.23"
"03.08.2021 11:00 - 03.08.2021 12:00","95.21"
"03.08.2021 12:00 - 03.08.2021 13:00","94.79"
"03.08.2021 13:00 - 03.08.2021 14:00","88.96"
"03.08.2021 14:00 - 03.08.2021 15:00","85.48"
"03.08.2021 15:00 - 03.08.2021 16:00","85.42"
"03.08.2021 16:00 - 03.08.2021 17:00","87.93"
"03.08.2021 17:00 - 03.08.2021 18:00","99.79"
"03.08.2021 18:00 - 03.08.2021 19:00","115.42"
"03.08.2021 19:00 - 03.08.2021 20:00","119.52"
"03.08.2021 20:00 - 03.08.2021 21:00","117.76"
"03.08.2021 21:00 - 03.08.2021 22:00","110.00"
"03.08.2021 22:00 - 03.08.2021 23:00","104.90"
"03.08.2021 23:00 - 04.08.2021 00:00","90.82"
"04.08.2021 00:00 - 04.08.2021 01:00","86.10"
"04.08.2021 01:00 - 04.08.2021 02:00","80.23"
"04.08.2021 02:00 - 04.08.2021 03:00","77.02"
"04.08.2021 03:00 - 04.08.2021 04:00","76.65"
"04.08.2021 04:00 - 04.08.2021 05:00","77.80"
"04.08.2021 05:00 - 04.08.2021 06:00","83.48"
"04.08.2021 06:00 - 04.08.2021 07:00","96.25"
"04.08.2021 07:00 - 04.08.2021 08:00","108.23"
"04.08.2021 08:00 - 04.08.2021 09:00","123.04"
"04.08.2021 09:00 - 04.08.2021 10:00","114.68"
"04.08.2021 10:00 - 04.08.2021 11:00","110.77"
"04.08.2021 11:00 - 04.08.2021 12:00","101.98"
"04.08.2021 12:00 - 04.08.2021 13:00","98.44"
"04.08.2021 13:00 - 04.08.2021 14:00","95.91"
"04.08.2021 14:00 - 04.08.2021 15:00","90.83"
"04.08.2021 15:00 - 04.08.2021 16:00","90.02"
"04.08.2021 16:00 - 04.08.2021 17:00","88.91"
"04.08.2021 17:00 - 04.08.2021 18:00","95.97"
"04.08.2021 18:00 - 04.08.2021 19:00","107.46"
"04.08.2021 19:00 - 04.08.2021 20:00","128.94"
"04.08.2021 20:00 - 04.08.2021 21:00","124.00"
"04.08.2021 21:00 - 04.08.2021 22:00","110.10"
"04.08.2021 22:00 - 04.08.2021 23:00","99.22"
"04.08.2021 23:00 - 05.08.2021 00:00","90.03"
"05.08.2021 00:00 - 05.08.2021 01:00","85.53"
"05.08.2021 01:00 - 05.08.2021 02:00","80.99"
"05.08.2021 02:00 - 05.08.2021 03:00","78.15"
"05.08.2021 03:00 - 05.08.2021 04:00","78.15"
"05.08.2021 04:00 - 05.08.2021 05:00","78.76"
"05.08.2021 05:00 - 05.08.2021 06:00","82.95"
"05.08.2021 06:00 - 05.08.2021 07:00","98.04"
"05.08.2021 07:00 - 05.08.2021 08:00","125.10"
"05.08.2021 08:00 - 05.08.2021 09:00","126.20"
"05.08.2021 09:00 - 05.08.2021 10:00","115.29"
"05.08.2021 10:00 - 05.08.2021 11:00","108.14"
"05.08.2021 11:00 - 05.08.2021 12:00","101.00"
"05.08.2021 12:00 - 05.08.2021 13:00","99.00"
"05.08.2021 13:00 - 05.08.2021 14:00","88.79"
"05.08.2021 14:00 - 05.08.2021 15:00","82.99"
"05.08.2021 15:00 - 05.08.2021 16:00","81.48"
"05.08.2021 16:00 - 05.08.2021 17:00","85.11"
"05.08.2021 17:00 - 05.08.2021 18:00","91.66"
"05.08.2021 18:00 - 05.08.2021 19:00","107.48"
"05.08.2021 19:00 - 05.08.2021 20:00","110.95"
"05.08.2021 20:00 - 05.08.2021 21:00","111.74"
"05.08.2021 21:00 - 05.08.2021 22:00","97.13"
"05.08.2021 22:00 - 05.08.2021 23:00","83.00"
"05.08.2021 23:00 - 06.08.2021 00:00","70.60"
"06.08.2021 00:00 - 06.08.2021 01:00","65.03"
"06.08.2021 01:00 - 06.08.2021 02:00","63.50"
"06.08.2021 02:00 - 06.08.2021 03:00","62.97"
"06.08.2021 03:00 - 06.08.2021 04:00","64.07"
"06.08.2021 04:00 - 06.08.2021 05:00","64.23"
"06.08.2021 05:00 - 06.08.2021 06:00","66.45"
"06.08.2021 06:00 - 06.08.2021 07:00","81.43"
"06.08.2021 07:00 - 06.08.2021 08:00","90.00"
"06.08.2021 08:00 - 06.08.2021 09:00","94.98"
"06.08.2021 09:00 - 06.08.2021 10:00","86.13"
"06.08.2021 10:00 - 06.08.2021 11:00","77.52"
"06.08.2021 11:00 - 06.08.2021 12:00","69.08"
"06.08.2021 12:00 - 06.08.2021 13:00","64.74"
"06.08.2021 13:00 - 06.08.2021 14:00","59.15"
"06.08.2021 14:00 - 06.08.2021 15:00","54.64"
"06.08.2021 15:00 - 06.08.2021 16:00","55.28"
"06.08.2021 16:00 - 06.08.2021 17:00","58.93"
"06.08.2021 17:00 - 06.08.2021 18:00","65.21"
"06.08.2021 18:00 - 06.08.2021 19:00","77.96"
"06.08.2021 19:00 - 06.08.2021 20:00","85.00"
"06.08.2021 20:00 - 06.08.2021 21:00","84.27"
"06.08.2021 21:00 - 06.08.2021 22:00","80.98"
"06.08.2021 22:00 - 06.08.2021 23:00","79.24"
"06.08.2021 23:00 - 07.08.2021 00:00","67.55"
"07.08.2021 00:00 - 07.08.2021 01:00","64.53"
"07.08.2021 01:00 - 07.08.2021 02:00","59.03"
"07.08.2021 02:00 - 07.08.2021 03:00","57.78"
"07.08.2021 03:00 - 07.08.2021 04:00","57.01"
"07.08.2021 04:00 - 07.08.2021 05:00","58.07"
"07.08.2021 05:00 - 07.08.2021 06:00","60.76"
"07.08.2021 06:00 - 07.08.2021 07:00","60.84"
"07.08.2021 07:00 - 07.08.2021 08:00","62.83"
"07.08.2021 08:00 - 07.08.2021 09:00","64.14"
"07.08.2021 09:00 - 07.08.2021 10:00","59.90"
"07.08.2021 10:00 - 07.08.2021 11:00","56.14"
"07.08.2021 11:00 - 07.08.2021 12:00","53.70"
"07.08.2021 12:00 - 07.08.2021 13:00","53.53"
"07.08.2021 13:00 - 07.08.2021 14:00","51.56"
"07.08.2021 14:00 - 07.08.2021 15:00","53.54"
"07.08.2021 15:00 - 07.08.2021 16:00","53.52"
"07.08.2021 16:00 - 07.08.2021 17:00","57.01"
"07.08.2021 17:00 - 07.08.2021 18:00","69.08"
"07.08.2021 18:00 - 07.08.2021 19:00","77.00"
"07.08.2021 19:00 - 07.08.2021 20:00","80.08"
"07.08.2021 20:00 - 07.08.2021 21:00","75.10"
"07.08.2021 21:00 - 07.08.2021 22:00","69.00"
"07.08.2021 22:00 - 07.08.2021 23:00","64.19"
"07.08.2021 23:00 - 08.08.2021 00:00","58.02"
"08.08.2021 00:00 - 08.08.2021 01:00","16.02"
"08.08.2021 01:00 - 08.08.2021 02:00","1.27"
"08.08.2021 02:00 - 08.08.2021 03:00","0.67"
"08.08.2021 03:00 - 08.08.2021 04:00","0.59"
"08.08.2021 04:00 - 08.08.2021 05:00","0.07"
"08.08.2021 05:00 - 08.08.2021 06:00","0.04"
"08.08.2021 06:00 - 08.08.2021 07:00","0.04"
"08.08.2021 07:00 - 08.08.2021 08:00","-0.29"
"08.08.2021 08:00 - 08.08.2021 09:00","-0.17"
"08.08.2021 09:00 - 08.08.2021 10:00","-4.37"
"08.08.2021 10:00 - 08.08.2021 11:00","-9.96"
"08.08.2021 11:00 - 08.08.2021 12:00","-14.00"
"08.08.2021 12:00 - 08.08.2021 13:00","-20.08"
"08.08.2021 13:00 - 08.08.2021 14:00","-43.30"
