"Time","EDM: Balance"
"1630447200000","-7712.333333333333"
"1630450800000","-7755.354166666667"
"1630454400000","-7989.770833333333"
"1630458000000","-7807.75"
"1630461600000","-8184.979166666667"
"1630465200000","-8438.4375"
"1630468800000","-8155.604166666667"
"1630472400000","-8240.041666666666"
"1630476000000","-4550.041666666667"
"1630479600000","-320.4791666666667"
"1630483200000","1789.0833333333333"
"1630486800000","6328.645833333333"
"1630490400000","13011.9375"
"1630494000000","8262.770833333334"
"1630497600000","8724.979166666666"
"1630501200000","5893.104166666667"
"1630504800000","4108.5625"
"1630508400000","867.2083333333334"
"1630512000000","111.41666666666667"
"1630515600000","-32.083333333333336"
"1630519200000","-2457.2916666666665"
"1630522800000","-4222.125"
"1630526400000","-5605.6875"
"1630530000000","-6670.770833333333"
"1630533600000","-9156.1875"
"1630537200000","-9082.145833333334"
"1630540800000","-9116.104166666666"
"1630544400000","-8998.625"
"1630548000000","-9126.291666666666"
"1630551600000","-9540.708333333334"
"1630555200000","-8915.395833333334"
"1630558800000","-9723.145833333334"
"1630562400000","-6863.604166666667"
"1630566000000","-851.6875"
"1630569600000","1825.3541666666667"
"1630573200000","6060.25"
"1630576800000","15462.1875"
"1630580400000","21268.541666666668"
"1630584000000","19389.625"
"1630587600000","17076.25"
"1630591200000","10538.875"
"1630594800000","2142.0416666666665"
"1630598400000","71.1875"
"1630602000000","-2.8958333333333335"
"1630605600000","-536.2291666666666"
"1630609200000","-4583.916666666667"
"1630612800000","-4282.583333333333"
"1630616400000","-6364.5625"
"1630620000000","-8028.625"
"1630623600000","-8973.395833333334"
"1630627200000","-9107.979166666666"
"1630630800000","-9097.395833333334"
"1630634400000","-9043.583333333334"
"1630638000000","-9227.729166666666"
"1630641600000","-9026.5"
"1630645200000","-9441.506276150627"
"1630648800000","-5883.333333333333"
"1630652400000","-296.25"
"1630656000000","1221.6458333333333"
"1630659600000","4885.104166666667"
"1630663200000","16276.8125"
"1630666800000","24609.708333333332"
"1630670400000","22852.270833333332"
"1630674000000","18778.958333333332"
"1630677600000","12341.979166666666"
"1630681200000","4079.375"
"1630684800000","292.3430962343096"
"1630688400000","-97.64583333333333"
"1630692000000","-53.645833333333336"
"1630695600000","-2709.205020920502"
"1630699200000","-4136.229166666667"
"1630702800000","-5640.3125"
"1630706400000","-7041.354166666667"
"1630710000000","-8448.75"
"1630713600000","-8231.645833333334"
"1630717200000","-8354.354166666666"
"1630720800000","-8140.083333333333"
"1630724400000","-8273.916666666666"
"1630728000000","-8453.6875"
"1630731600000","-6616.416666666667"
"1630735200000","-2013.0416666666667"
"1630738800000","517.9791666666666"
"1630742400000","4049.7083333333335"
"1630746000000","12280.854166666666"
"1630749600000","24969.958333333332"
"1630753200000","28188.166666666668"
"1630756800000","26431.458333333332"
"1630760400000","22088.5"
"1630764000000","15189.145833333334"
"1630767600000","6010.3125"
"1630771200000","400.4166666666667"
"1630774800000","-199.79166666666666"
"1630778400000","-172.47916666666666"
"1630782000000","-3078.1458333333335"
"1630785600000","-5164.833333333333"
"1630789200000","-8929.666666666666"
"1630792800000","-10099.083333333334"
"1630796400000","-9966.708333333334"
"1630800000000","-9736.645833333334"
"1630803600000","-9929.75"
"1630807200000","-9848.333333333334"
"1630810800000","-8252.6875"
"1630814400000","-9065.916666666666"
"1630818000000","-6701.520833333333"
"1630821600000","-1765"
"1630825200000","506.7083333333333"
"1630828800000","3600.8541666666665"
"1630832400000","11379.583333333334"
"1630836000000","23913.916666666668"
"1630839600000","27708.291666666668"
"1630843200000","26010.083333333332"
"1630846800000","21660.25"
"1630850400000","14386.75"
"1630854000000","5309.083333333333"
"1630857600000","283.6458333333333"
"1630861200000","-262.5625"
"1630864800000","-244.41666666666666"
"1630868400000","-2532.7083333333335"
"1630872000000","-4092.7083333333335"
"1630875600000","-5590.583333333333"
"1630879200000","-8324.333333333334"
"1630882800000","-8428.229166666666"
"1630886400000","-8393.083333333334"
"1630890000000","-8244.458333333334"
"1630893600000","-8420.9375"
"1630897200000","-8212.333333333334"
"1630900800000","-8444.958333333334"
"1630904400000","-8573.229166666666"
"1630908000000","-7404.291666666667"
"1630911600000","-675.5833333333334"
"1630915200000","845.1666666666666"
"1630918800000","4408.083333333333"
"1630922400000","13240.8125"
"1630926000000","18784.395833333332"
"1630929600000","20237.5625"
"1630933200000","16316.895833333334"
"1630936800000","10712.625"
"1630940400000","3596.0833333333335"
"1630944000000","-924.2916666666666"
"1630947600000","-43.104166666666664"
"1630951200000","-126"
"1630954800000","-831.5625"
"1630958400000","-4098.4375"
"1630962000000","-4777.1875"
"1630965600000","-7598.541666666667"
"1630969200000","-7986.979166666667"
"1630972800000","-8265.666666666666"
"1630976400000","-8248.729166666666"
"1630980000000","-8241.354166666666"
"1630983600000","-8174.145833333333"
"1630987200000","-8268.645833333334"
"1630990800000","-9004.145833333334"
"1630994400000","-6894.958333333333"
"1630998000000","-2023.9791666666667"
"1631001600000","737.1041666666666"
"1631005200000","1086.9791666666667"
"1631008800000","7889.958333333333"
"1631012400000","14039.916666666666"
"1631016000000","12297.270833333334"
"1631019600000","15163.479166666666"
"1631023200000","7752.583333333333"
"1631026800000","1432.1041666666667"
"1631030400000","-28.625"
"1631034000000","-69.3125"
"1631037600000","-39.208333333333336"
"1631041200000","-2337.0833333333335"
"1631044800000","-4433.541666666667"
"1631048400000","-5424.104166666667"
"1631052000000","-7365.8125"
"1631055600000","-7238.791666666667"
"1631059200000","-7749.895833333333"
"1631062800000","-8120.5625"
"1631066400000","-7530.4375"
"1631070000000","-8197.64705882353"
"1631073600000","-8636.541666666666"
"1631077200000","-8603.041666666666"
"1631080800000","-8053.770833333333"
"1631084400000","-435.5"
"1631088000000","987.4791666666666"
"1631091600000","3287.3333333333335"
"1631095200000","11965.125"
"1631098800000","18358"
"1631102400000","18774.291666666668"
"1631106000000","15062.34309623431"
"1631109600000","6863.104166666667"
"1631113200000","996.125"
"1631116800000","-160.5"
"1631120400000","-104.08333333333333"
"1631124000000","-394.4583333333333"
"1631127600000","-3894.6458333333335"
"1631131200000","-5585.541666666667"
"1631134800000","-6832.291666666667"
"1631138400000","-8672.416666666666"
"1631142000000","-8308.708333333334"
"1631145600000","-8567.625"
"1631149200000","-8682.333333333334"
"1631152800000","-7991.458333333333"
"1631156400000","-8251.25"
"1631160000000","-9074.43722943723"
"1631163600000","-7764.497907949791"
"1631167200000","-6752.145833333333"
"1631170800000","-1148.4791666666667"
"1631174400000","777.9791666666666"
"1631178000000","2240.5833333333335"
"1631181600000","6669"
"1631185200000","15934.5"
"1631188800000","16208.9375"
"1631192400000","13567.3125"
"1631196000000","670.375"
"1631199600000","452.75"
"1631203200000","-227.91666666666666"
"1631206800000","-584.4166666666666"
"1631210400000","-3205.375"
"1631214000000","-4065.4583333333335"
"1631217600000","-6300.916666666667"
"1631221200000","-8104.916666666667"
"1631224800000","-8376.5"
"1631228400000","-8594.1875"
"1631232000000","-8210.625"
"1631235600000","-7840.333333333333"
"1631239200000","-8352.583333333334"
"1631242800000","-8764.6875"
"1631246400000","-8209.25"
"1631250000000","-7991.416666666667"
"1631253600000","-6473.875"
"1631257200000","-4542.979166666667"
"1631260800000","51.25"
"1631264400000","1337.4375"
"1631268000000","1471.1715481171548"
"1631271600000","1407.3333333333333"
"1631275200000","1967.8125"
"1631278800000","4387.354166666667"
"1631282400000","3224.875"
"1631286000000","-218.32635983263597"
"1631289600000","-2939.3958333333335"
"1631293200000","-5308.979166666667"
"1631296800000","-8325.020833333334"
"1631300400000","-9569.6875"
"1631304000000","-8956.666666666666"
"1631307600000","-10076.0625"
"1631311200000","-8880.0625"
"1631314800000","-10550.083333333334"
"1631318400000","-8972.666666666666"
"1631322000000","-11017.395833333334"
"1631325600000","-9136.8125"
"1631329200000","-10598.9375"
"1631332800000","-9223.791666666666"
"1631336400000","-9661.729166666666"
"1631340000000","-6543.625"
"1631343600000","-6343.083333333333"
"1631347200000","-2244.6041666666665"
"1631350800000","-1362.5416666666667"
