"Time","PVGen"
"2021-09-01 00:00:00","0 W"
"2021-09-01 01:00:00","0 W"
"2021-09-01 02:00:00","0 W"
"2021-09-01 03:00:00","0 W"
"2021-09-01 04:00:00","0 W"
"2021-09-01 05:00:00","0 W"
"2021-09-01 06:00:00","5.48 W"
"2021-09-01 07:00:00","2.68 kW"
"2021-09-01 08:00:00","8.37 kW"
"2021-09-01 09:00:00","18.9 kW"
"2021-09-01 10:00:00","29.0 kW"
"2021-09-01 11:00:00","36.2 kW"
"2021-09-01 12:00:00","36.6 kW"
"2021-09-01 13:00:00","26.1 kW"
"2021-09-01 14:00:00","27.3 kW"
"2021-09-01 15:00:00","21.2 kW"
"2021-09-01 16:00:00","23.8 kW"
"2021-09-01 17:00:00","16.9 kW"
"2021-09-01 18:00:00","8.95 kW"
"2021-09-01 19:00:00","2.43 kW"
"2021-09-01 20:00:00","7.86 W"
"2021-09-01 21:00:00","0 W"
"2021-09-01 22:00:00","0 W"
"2021-09-01 23:00:00","0 W"
"2021-09-02 00:00:00","0 W"
"2021-09-02 01:00:00","0 W"
"2021-09-02 02:00:00","0 W"
"2021-09-02 03:00:00","0 W"
"2021-09-02 04:00:00","0 W"
"2021-09-02 05:00:00","0 W"
"2021-09-02 06:00:00","0 W"
"2021-09-02 07:00:00","2.30 kW"
"2021-09-02 08:00:00","8.12 kW"
"2021-09-02 09:00:00","19.0 kW"
"2021-09-02 10:00:00","29.7 kW"
"2021-09-02 11:00:00","36.6 kW"
"2021-09-02 12:00:00","39.8 kW"
"2021-09-02 13:00:00","40.7 kW"
"2021-09-02 14:00:00","38.9 kW"
"2021-09-02 15:00:00","34.7 kW"
"2021-09-02 16:00:00","27.5 kW"
"2021-09-02 17:00:00","17.8 kW"
"2021-09-02 18:00:00","9.01 kW"
"2021-09-02 19:00:00","2.16 kW"
"2021-09-02 20:00:00","4.23 W"
"2021-09-02 21:00:00","0 W"
"2021-09-02 22:00:00","0 W"
"2021-09-02 23:00:00","0 W"
"2021-09-03 00:00:00","0 W"
"2021-09-03 01:00:00","0 W"
"2021-09-03 02:00:00","0 W"
"2021-09-03 03:00:00","0 W"
"2021-09-03 04:00:00","0 W"
"2021-09-03 05:00:00","0 W"
"2021-09-03 06:00:00","0 W"
"2021-09-03 07:00:00","2.09 kW"
"2021-09-03 08:00:00","7.89 kW"
"2021-09-03 09:00:00","18.8 kW"
"2021-09-03 10:00:00","29.5 kW"
"2021-09-03 11:00:00","36.4 kW"
"2021-09-03 12:00:00","39.6 kW"
"2021-09-03 13:00:00","40.4 kW"
"2021-09-03 14:00:00","38.5 kW"
"2021-09-03 15:00:00","34.3 kW"
"2021-09-03 16:00:00","27.1 kW"
"2021-09-03 17:00:00","17.3 kW"
"2021-09-03 18:00:00","8.77 kW"
"2021-09-03 19:00:00","1.97 kW"
