Time,currentactivepower,plantactivepower,PriceInMWh,PriceInkWh
1.6885E+12,0,-8.50065625,145.03,0.14503
1.68851E+12,0,-8.573052083,124.09,0.12409
1.68851E+12,0,-8.60721875,124.32,0.12432
1.68852E+12,0,-8.560510417,110.41,0.11041
1.68852E+12,0,-8.578270833,94.76,0.09476
1.68852E+12,0,-8.617791667,86.81,0.08681
1.68853E+12,0,-8.5728125,67.3,0.0673
1.68853E+12,0.405279167,-9.3563625,67.87,0.06787
1.68853E+12,2.5618625,-11.36606042,76.64,0.07664
1.68854E+12,10.96090208,-15.51804792,92.59,0.09259
1.68854E+12,25.19191875,-25.04758542,98.35,0.09835
1.68854E+12,30.67565417,-27.63194583,82.4,0.0824
1.68855E+12,34.3619875,-28.89505,73.44,0.07344
1.68855E+12,36.89239583,-24.31117708,38.2,0.0382
1.68855E+12,36.57851458,-23.120525,0.05,0.00005
1.68856E+12,34.58531042,-21.86285208,-3.09,-0.00309
1.68856E+12,29.37969375,-20.075725,-9.93,-0.00993
1.68857E+12,21.20539792,-16.29598125,-9.9,-0.0099
1.68857E+12,25.83186875,-18.87499375,-3.52,-0.00352
1.68857E+12,14.5417875,-12.26104792,23.33,0.02333
1.68858E+12,7.022585417,-7.079314583,83.2,0.0832
1.68858E+12,3.463066667,-3.70461875,104.61,0.10461
1.68858E+12,0.2028375,-3.633275,118.44,0.11844
1.68859E+12,0,-6.843822917,122.75,0.12275
1.68859E+12,0,-6.049645833,121.34,0.12134
1.68859E+12,0,-8.408375,114.81,0.11481
1.6886E+12,0,-9.08446875,91.62,0.09162
1.6886E+12,0,-9.135447917,84,0.084
1.68861E+12,0,-9.001052083,82.4,0.0824
1.68861E+12,0,-8.8975,83.05,0.08305
1.68861E+12,0.07461875,-9.195327083,85.01,0.08501
1.68862E+12,2.285016667,-10.01276667,94.37,0.09437
1.68862E+12,7.778804167,-11.34964792,113.75,0.11375
1.68862E+12,16.04085625,-16.54964792,126.29,0.12629
1.68863E+12,25.22747083,-24.84227292,124.85,0.12485
1.68863E+12,32.77207083,-31.83890417,110.97,0.11097
1.68863E+12,39.110875,-31.76751042,95.03,0.09503
1.68864E+12,41.60195625,-24.71182083,86.29,0.08629
1.68864E+12,43.68285208,-25.73958125,78.17,0.07817
1.68864E+12,43.21809792,-23.3545875,76.42,0.07642
1.68865E+12,39.29444375,-24.75924583,78.15,0.07815
1.68865E+12,33.87388542,-21.3255625,84.05,0.08405
1.68866E+12,26.30234583,-20.3821375,88.1,0.0881
1.68866E+12,17.82567083,-17.0989,98.83,0.09883
1.68866E+12,9.9412625,-9.520877083,116.42,0.11642
1.68867E+12,3.16425625,-4.001485417,150.6,0.1506
1.68867E+12,0.1490375,-2.332652083,184.13,0.18413
1.68867E+12,0,-9.02853125,183.86,0.18386
1.68868E+12,0,-10.34847917,137.57,0.13757
1.68868E+12,0,-10.28973958,118.98,0.11898
1.68868E+12,0,-10.35519792,114,0.114
1.68869E+12,0,-10.49252083,103.88,0.10388
1.68869E+12,0,-10.422,97.6,0.0976
1.6887E+12,0,-10.589625,95.93,0.09593
1.6887E+12,0.065354167,-10.66245833,98.01,0.09801
1.6887E+12,2.341591667,-12.51360208,101.94,0.10194
1.68871E+12,7.712439583,-12.95425208,135.47,0.13547
1.68871E+12,15.97512292,-17.21599792,121.7,0.1217
1.68871E+12,25.12638542,-25.35172917,108.83,0.10883
1.68872E+12,32.19786458,-31.86038542,91.79,0.09179
1.68872E+12,38.31124583,-30.6181625,84,0.084
1.68872E+12,41.67759583,-23.80422083,79.12,0.07912
1.68873E+12,42.75660833,-21.8714625,74.9,0.0749
1.68873E+12,41.64926875,-21.43682083,66.57,0.06657
1.68873E+12,37.84263125,-19.58783958,64.98,0.06498
1.68874E+12,31.63926458,-19.92526458,66.18,0.06618
1.68874E+12,25.0635875,-18.2769,80.29,0.08029
1.68875E+12,17.70380625,-16.61904583,90,0.09
1.68875E+12,8.61715625,-9.072375,117.65,0.11765
1.68875E+12,2.31051875,-3.486820833,146.78,0.14678
1.68876E+12,0.03115,-7.978816667,173.24,0.17324
1.68876E+12,0,-7.584802083,139.54,0.13954
1.68876E+12,0,-9.6046875,117.27,0.11727
1.68877E+12,0,-9.953177083,101.56,0.10156
1.68877E+12,0,-10.73226042,100.27,0.10027
1.68877E+12,0,-9.964791667,92.14,0.09214
1.68878E+12,0,-9.88325,89.97,0.08997
1.68878E+12,0,-9.842083333,87.06,0.08706
1.68879E+12,0.087172917,-10.084225,88.84,0.08884
1.68879E+12,2.7256375,-10.54134583,88.57,0.08857
1.68879E+12,7.973845833,-11.63409583,84.94,0.08494
1.6888E+12,15.83138958,-15.54663958,85.26,0.08526
1.6888E+12,19.38023333,-18.72359792,83.77,0.08377
1.6888E+12,30.89101875,-27.03535208,76.04,0.07604
1.68881E+12,38.23953958,-24.00332083,60.9,0.0609
1.68881E+12,41.04093958,-14.5186375,46.32,0.04632
1.68881E+12,41.75495417,-13.95950625,35.22,0.03522
1.68882E+12,39.85748542,-14.13790208,16.71,0.01671
1.68882E+12,36.10344583,-14.59334167,16.73,0.01673
1.68882E+12,31.37292083,-13.57885833,40,0.04
1.68883E+12,23.96635417,-14.07704167,60.9,0.0609
1.68883E+12,15.89171042,-13.33374167,83.4,0.0834
1.68884E+12,8.580383333,-7.94120625,107.3,0.1073
1.68884E+12,2.046925,-2.291935417,121,0.121
1.68884E+12,0.130247917,-3.544591667,128.76,0.12876
1.68885E+12,0,-7.738979167,132.86,0.13286
1.68885E+12,0,-7.777625,129.72,0.12972
1.68885E+12,0,-10.49333333,115.92,0.11592
1.68886E+12,0,-9.832125,109.44,0.10944
1.68886E+12,0,-9.94615625,101.74,0.10174
1.68886E+12,0,-9.583729167,101.82,0.10182
1.68887E+12,0,-9.624791667,95.44,0.09544
1.68887E+12,0.010270833,-9.620291667,95.79,0.09579
1.68888E+12,1.996910417,-10.17559792,96.92,0.09692
1.68888E+12,7.35748125,-10.43708542,94.68,0.09468
1.68888E+12,15.3737375,-15.57225833,91.2,0.0912
1.68889E+12,24.32272917,-23.28972917,86.24,0.08624
1.68889E+12,31.810175,-27.37707083,77.11,0.07711
1.68889E+12,37.07244375,-21.79024583,60.15,0.06015
1.6889E+12,39.40616458,-15.0372375,50.12,0.05012
1.6889E+12,40.39917917,-14.70305417,45.69,0.04569
1.6889E+12,36.15296458,-15.47220417,36.99,0.03699
1.68891E+12,26.97376458,-14.41509792,44.85,0.04485
1.68891E+12,27.13237917,-14.98919167,55.15,0.05515
1.68891E+12,13.27642292,-11.48440208,72.99,0.07299
1.68892E+12,8.45881875,-9.127745833,82.4,0.0824
1.68892E+12,7.00365625,-7.10446875,105.1,0.1051
1.68893E+12,3.098575,-4.917314583,122.21,0.12221
1.68893E+12,0.127339583,-9.376839583,132.12,0.13212
1.68893E+12,0,-10.74673958,134.1,0.1341
1.68894E+12,0,-14.0408125,132.12,0.13212
1.68894E+12,0,-12.67229167,119.6,0.1196
1.68894E+12,0,-11.08977083,112.49,0.11249
1.68895E+12,0,-10.42348958,102,0.102
1.68895E+12,0,-10.30847917,94.3,0.0943
1.68895E+12,0,-11.28642708,91.94,0.09194
1.68896E+12,0.089391667,-10.81486042,93.31,0.09331
1.68896E+12,1.408985417,-11.84815208,105.14,0.10514
1.68897E+12,6.152985417,-15.29408958,121.67,0.12167
1.68897E+12,14.00390625,-18.84170833,132.78,0.13278
1.68897E+12,21.54980625,-24.3092125,134.27,0.13427
1.68898E+12,26.48157292,-27.22977083,117.95,0.11795
1.68898E+12,25.6908625,-27.50422708,105.28,0.10528
1.68898E+12,28.10948542,-25.87800625,94.99,0.09499
1.68899E+12,36.69708958,-33.33646458,89.23,0.08923
1.68899E+12,37.97044167,-36.32347292,80.16,0.08016
1.68899E+12,31.8406125,-30.08302917,74.48,0.07448
1.689E+12,29.12808542,-27.930075,72.22,0.07222
1.689E+12,21.9471625,-22.32882917,81.46,0.08146
1.689E+12,11.61301875,-12.24719583,91.14,0.09114
1.68901E+12,7.31670625,-8.033102083,122.67,0.12267
1.68901E+12,2.427870833,-10.84439167,165.49,0.16549
1.68902E+12,0.116222917,-14.98032708,176.01,0.17601
1.68902E+12,0,-11.97894792,180.07,0.18007
1.68902E+12,0,-10.39204167,162.92,0.16292
1.68903E+12,0,-10.39991667,133.7,0.1337
1.68903E+12,0,-10.54614583,124.41,0.12441
1.68903E+12,0,-9.331322917,115.74,0.11574
1.68904E+12,0,-9.257822917,105.29,0.10529
1.68904E+12,0,-10.19821875,100.68,0.10068
1.68904E+12,0.07798125,-9.864366667,99.7,0.0997
1.68905E+12,2.295114583,-10.70452083,112.74,0.11274
1.68905E+12,6.802133333,-12.36020625,123.55,0.12355
1.68906E+12,14.63994583,-17.30789375,125.39,0.12539
1.68906E+12,23.81619375,-24.45000625,120.95,0.12095
1.68906E+12,31.79130625,-31.68975417,105.1,0.1051
1.68907E+12,35.98367292,-33.56781875,93.82,0.09382
1.68907E+12,39.42267292,-28.64608958,81.09,0.08109
1.68907E+12,40.83460208,-29.3366125,57.76,0.05776
1.68908E+12,39.6488625,-25.56691458,46.39,0.04639
1.68908E+12,36.46104792,-25.1889125,47.39,0.04739
1.68908E+12,28.83971667,-22.1416125,66.65,0.06665
1.68909E+12,9.739395833,-10.59359375,88.22,0.08822
1.68909E+12,4.16928125,-6.4093125,95.41,0.09541
1.68909E+12,5.1923625,-10.87902917,121.58,0.12158
1.6891E+12,0.064370833,-12.79454792,172.01,0.17201
1.6891E+12,0,-12.56177083,180.99,0.18099
1.68911E+12,0,-9.678677083,135,0.135
1.68911E+12,0,-9.335479167,119.95,0.11995
1.68911E+12,0,-9.046395833,103.18,0.10318
1.68912E+12,0,-9.036552083,98.47,0.09847
1.68912E+12,0,-8.896791667,91,0.091
1.68912E+12,0,-8.52346875,90,0.09
1.68913E+12,0,-8.414958333,82.09,0.08209
1.68913E+12,0,-8.74828125,83.58,0.08358
1.68913E+12,1.938520833,-9.716645833,85.13,0.08513
1.68914E+12,4.485975,-12.72045417,102.05,0.10205
1.68914E+12,10.9294625,-17.97584792,118.04,0.11804
1.68915E+12,23.88277083,-24.47897917,120,0.12
1.68915E+12,31.50270417,-31.09531875,104.84,0.10484
1.68915E+12,38.7415,-36.25534375,86.36,0.08636
1.68916E+12,39.19855417,-34.22124167,69.77,0.06977
1.68916E+12,33.11179792,-28.85407917,15.87,0.01587
1.68916E+12,31.14461667,-27.35750208,12.92,0.01292
1.68917E+12,25.52169167,-23.90549375,19.33,0.01933
1.68917E+12,21.50954167,-21.25177083,27.03,0.02703
1.68917E+12,18.99337083,-19.62651667,53.97,0.05397
1.68918E+12,8.504391667,-9.641047917,82.52,0.08252
1.68918E+12,4.106560417,-9.517925,99.36,0.09936
1.68918E+12,0.794316667,-11.13582708,119.38,0.11938
1.68919E+12,0.0054,-11.5793375,146.26,0.14626
1.68919E+12,0,-11.0531875,151.89,0.15189
1.6892E+12,0,-9.544333333,126.41,0.12641
1.6892E+12,0,-9.646697917,113.91,0.11391
1.6892E+12,0,-9.184583333,105.09,0.10509
1.68921E+12,0,-9.25678125,97.03,0.09703
1.68921E+12,0,-9.53971875,95.04,0.09504
1.68921E+12,0,-9.103864583,92.25,0.09225
1.68922E+12,0.0228375,-8.76336875,92.1,0.0921
1.68922E+12,2.350247917,-11.13621667,93.63,0.09363
1.68922E+12,6.70779375,-11.39152292,107.39,0.10739
1.68923E+12,15.0227875,-18.56355833,122.29,0.12229
1.68923E+12,24.47853125,-24.68260417,119.1,0.1191
1.68924E+12,31.36779375,-31.13134583,104.51,0.10451
1.68924E+12,31.25426458,-30.01863958,91.17,0.09117
1.68924E+12,37.52613958,-31.15344167,84.14,0.08414
1.68925E+12,19.95013125,-18.83457917,77.3,0.0773
1.68925E+12,28.25205625,-27.23876458,60.78,0.06078
1.68925E+12,19.28995,-19.27914792,50.02,0.05002
1.68926E+12,24.16841667,-23.35526042,62.13,0.06213
1.68926E+12,18.63640208,-19.10461042,76.3,0.0763
1.68926E+12,15.22491042,-15.57330625,87.57,0.08757
1.68927E+12,8.80066875,-12.26665833,93.7,0.0937
1.68927E+12,3.125216667,-15.10738333,117.36,0.11736
1.68927E+12,0.147583333,-14.32178125,130.86,0.13086
1.68928E+12,0,-11.12847917,137.89,0.13789
1.68928E+12,0,-11.17240625,129.67,0.12967
1.68929E+12,0,-10.2111875,117.72,0.11772
1.68929E+12,0,-10.64971875,101,0.101
1.68929E+12,0,-10.37623958,96.36,0.09636
1.6893E+12,0,-10.504125,92.91,0.09291
1.6893E+12,0,-11.717875,94.01,0.09401
1.6893E+12,0.066835417,-9.936877083,93.35,0.09335
1.68931E+12,2.2458875,-11.08166875,99.35,0.09935
1.68931E+12,5.311770833,-12.55327083,114,0.114
1.68931E+12,12.59666042,-17.54751458,114,0.114
1.68932E+12,21.76967083,-22.30945208,103.76,0.10376
1.68932E+12,23.65101042,-23.69280208,85.07,0.08507
1.68933E+12,27.93419792,-27.64101042,79.71,0.07971
1.68933E+12,30.09725417,-28.42717083,76.54,0.07654
1.68933E+12,26.49111042,-25.83101667,73.95,0.07395
1.68934E+12,35.613075,-27.45549167,69.99,0.06999
1.68934E+12,30.07454167,-24.33652083,75.13,0.07513
1.68934E+12,30.21796458,-23.06558958,80.05,0.08005
1.68935E+12,23.87730625,-17.8153375,85.1,0.0851
1.68935E+12,16.34710833,-15.10962917,97.46,0.09746
1.68935E+12,7.27613125,-7.655922917,115.25,0.11525
1.68936E+12,2.42678125,-3.868458333,140.19,0.14019
1.68936E+12,0.009297917,-5.888141667,139.92,0.13992
1.68936E+12,0,-6.731208333,123.92,0.12392
1.68937E+12,0,-9.700270833,95.25,0.09525
1.68937E+12,0,-10.50795833,80.94,0.08094
1.68938E+12,0,-10.11005208,72.28,0.07228
1.68938E+12,0,-10.02479167,53.46,0.05346
1.68938E+12,0,-10.92392708,29.15,0.02915
1.68939E+12,0,-9.453177083,19.95,0.01995
1.68939E+12,0,-9.781239583,16.98,0.01698
1.68939E+12,1.603491667,-10.24162708,13.69,0.01369
1.6894E+12,7.40940625,-10.82095833,19.9,0.0199
1.6894E+12,14.49329375,-14.66002292,22.6,0.0226
1.6894E+12,11.46969167,-11.62568125,29.95,0.02995
1.68941E+12,26.04689583,-24.38433333,17.41,0.01741
1.68941E+12,11.29590417,-11.03950833,4.6,0.0046
1.68942E+12,25.33808333,-21.80633333,0,0
1.68942E+12,19.01022917,-16.37947917,-0.02,-0.00002
