"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              01/08/2022 00:00 - 01/08/2022 01:00,"BZN|DE-LU","PT60M",385.06,"EUR"
              01/08/2022 01:00 - 01/08/2022 02:00,"BZN|DE-LU","PT60M",344.06,"EUR"
              01/08/2022 02:00 - 01/08/2022 03:00,"BZN|DE-LU","PT60M",338.81,"EUR"
              01/08/2022 03:00 - 01/08/2022 04:00,"BZN|DE-LU","PT60M",320.86,"EUR"
              01/08/2022 04:00 - 01/08/2022 05:00,"BZN|DE-LU","PT60M",329.72,"EUR"
              01/08/2022 05:00 - 01/08/2022 06:00,"BZN|DE-LU","PT60M",380.00,"EUR"
              01/08/2022 06:00 - 01/08/2022 07:00,"BZN|DE-LU","PT60M",429.66,"EUR"
              01/08/2022 07:00 - 01/08/2022 08:00,"BZN|DE-LU","PT60M",467.91,"EUR"
              01/08/2022 08:00 - 01/08/2022 09:00,"BZN|DE-LU","PT60M",474.90,"EUR"
              01/08/2022 09:00 - 01/08/2022 10:00,"BZN|DE-LU","PT60M",459.05,"EUR"
              01/08/2022 10:00 - 01/08/2022 11:00,"BZN|DE-LU","PT60M",447.89,"EUR"
              01/08/2022 11:00 - 01/08/2022 12:00,"BZN|DE-LU","PT60M",428.22,"EUR"
              01/08/2022 12:00 - 01/08/2022 13:00,"BZN|DE-LU","PT60M",392.10,"EUR"
              01/08/2022 13:00 - 01/08/2022 14:00,"BZN|DE-LU","PT60M",388.20,"EUR"
              01/08/2022 14:00 - 01/08/2022 15:00,"BZN|DE-LU","PT60M",377.40,"EUR"
              01/08/2022 15:00 - 01/08/2022 16:00,"BZN|DE-LU","PT60M",385.09,"EUR"
              01/08/2022 16:00 - 01/08/2022 17:00,"BZN|DE-LU","PT60M",398.90,"EUR"
              01/08/2022 17:00 - 01/08/2022 18:00,"BZN|DE-LU","PT60M",437.25,"EUR"
              01/08/2022 18:00 - 01/08/2022 19:00,"BZN|DE-LU","PT60M",461.06,"EUR"
              01/08/2022 19:00 - 01/08/2022 20:00,"BZN|DE-LU","PT60M",510.66,"EUR"
