"Time","Charge State"
2022-04-30 20:00:00,0
2022-05-01 02:00:00,0
2022-05-01 08:00:00,8.77
2022-05-01 14:00:00,31.4
2022-05-01 20:00:00,0
2022-05-02 02:00:00,0.00347
2022-05-02 08:00:00,25.5
2022-05-02 14:00:00,79.2
2022-05-02 20:00:00,2.58
2022-05-03 02:00:00,0
2022-05-03 08:00:00,32.6
2022-05-03 14:00:00,35.7
2022-05-03 20:00:00,0
2022-05-04 02:00:00,0.00347
2022-05-04 08:00:00,9.84
2022-05-04 14:00:00,70.2
2022-05-04 20:00:00,1.49
2022-05-05 02:00:00,0.00417
2022-05-05 08:00:00,0
2022-05-05 14:00:00,0
2022-05-05 20:00:00,0
2022-05-06 02:00:00,0
2022-05-06 08:00:00,14.3
2022-05-06 14:00:00,96.4
2022-05-06 20:00:00,30.0
2022-05-07 02:00:00,0.00417
2022-05-07 08:00:00,69.0
2022-05-07 14:00:00,97.8
2022-05-07 20:00:00,24.7
2022-05-08 02:00:00,0.00208
2022-05-08 08:00:00,65.4
2022-05-08 14:00:00,98.8
2022-05-08 20:00:00,22.1
2022-05-09 02:00:00,0
2022-05-09 08:00:00,46.3
2022-05-09 14:00:00,89.5
2022-05-09 20:00:00,3.15
2022-05-10 02:00:00,0
2022-05-10 08:00:00,42.9
2022-05-10 14:00:00,85.0
2022-05-10 20:00:00,3.36
2022-05-11 02:00:00,0.00347
2022-05-11 08:00:00,28.6
2022-05-11 14:00:00,89.8
2022-05-11 20:00:00,7.25
2022-05-12 02:00:00,0.00417
2022-05-12 08:00:00,7.32
2022-05-12 14:00:00,31.8
2022-05-12 20:00:00,0
2022-05-13 02:00:00,0
2022-05-13 08:00:00,16.3
2022-05-13 14:00:00,93.4
2022-05-13 20:00:00,12.3
2022-05-14 02:00:00,0.00417
2022-05-14 08:00:00,45.7
2022-05-14 14:00:00,96.6
2022-05-14 20:00:00,11.6
2022-05-15 02:00:00,0
2022-05-15 08:00:00,53.2
2022-05-15 14:00:00,98.1
2022-05-15 20:00:00,20.8
2022-05-16 02:00:00,0
2022-05-16 08:00:00,8.55
2022-05-16 14:00:00,9.83
2022-05-16 20:00:00,0
2022-05-17 02:00:00,0
2022-05-17 08:00:00,25.3
2022-05-17 14:00:00,93.6
2022-05-17 20:00:00,10.1
2022-05-18 02:00:00,0.00347
2022-05-18 08:00:00,31.3
2022-05-18 14:00:00,93.4
2022-05-18 20:00:00,6.49
2022-05-19 02:00:00,0.00417
2022-05-19 08:00:00,26.1
2022-05-19 14:00:00,77.1
2022-05-19 20:00:00,1.96
2022-05-20 02:00:00,0
2022-05-20 08:00:00,49.1
2022-05-20 14:00:00,50.1
2022-05-20 20:00:00,0.00278
2022-05-21 02:00:00,0.00347
2022-05-21 08:00:00,36.3
2022-05-21 14:00:00,98.4
2022-05-21 20:00:00,21.4
2022-05-22 02:00:00,0.00278
2022-05-22 08:00:00,54.7
2022-05-22 14:00:00,89.8
2022-05-22 20:00:00,5.95
2022-05-23 02:00:00,0.00278
2022-05-23 08:00:00,5.79
2022-05-23 14:00:00,11.8
2022-05-23 20:00:00,0
2022-05-24 02:00:00,0
2022-05-24 08:00:00,16.4
2022-05-24 14:00:00,85.9
2022-05-24 20:00:00,10.5
2022-05-25 02:00:00,0.00417
2022-05-25 08:00:00,34.7
2022-05-25 14:00:00,87.0
2022-05-25 20:00:00,15.0
2022-05-26 02:00:00,0
2022-05-26 08:00:00,3.18
2022-05-26 14:00:00,48.8
2022-05-26 20:00:00,11.9
2022-05-27 02:00:00,0.00417
2022-05-27 08:00:00,3.23
2022-05-27 14:00:00,14.3
2022-05-27 20:00:00,0.326
2022-05-28 02:00:00,0
2022-05-28 08:00:00,61.2
2022-05-28 14:00:00,94.8
2022-05-28 20:00:00,24.3
2022-05-29 02:00:00,0.00417
2022-05-29 08:00:00,19.4
2022-05-29 14:00:00,97.6
2022-05-29 20:00:00,40.9
2022-05-30 02:00:00,0.00208
2022-05-30 08:00:00,53.9
2022-05-30 14:00:00,86.0
2022-05-30 20:00:00,27.8
2022-05-31 02:00:00,0.00419
2022-05-31 08:00:00,42.6
2022-05-31 14:00:00,89.4
2022-05-31 20:00:00,8.40
2022-06-01 02:00:00,0
2022-06-01 08:00:00,52.6
2022-06-01 14:00:00,95.0
2022-06-01 20:00:00,13.5
2022-06-02 02:00:00,0
2022-06-02 08:00:00,53.0
2022-06-02 14:00:00,96.3
2022-06-02 20:00:00,13.2
2022-06-03 02:00:00,0
2022-06-03 08:00:00,45.5
2022-06-03 14:00:00,35.0
2022-06-03 20:00:00,0
2022-06-04 02:00:00,0.00417
2022-06-04 08:00:00,0.691
2022-06-04 14:00:00,75.2
2022-06-04 20:00:00,21.7
2022-06-05 02:00:00,0
2022-06-05 08:00:00,25.7
2022-06-05 14:00:00,59.1
2022-06-05 20:00:00,4.12
2022-06-06 02:00:00,0.00417
2022-06-06 08:00:00,41.0
2022-06-06 14:00:00,72.8
2022-06-06 20:00:00,2.24
2022-06-07 02:00:00,0
2022-06-07 08:00:00,29.5
2022-06-07 14:00:00,75.2
2022-06-07 20:00:00,7.79
2022-06-08 02:00:00,0.00347
2022-06-08 08:00:00,42.3
2022-06-08 14:00:00,44.1
2022-06-08 20:00:00,0
2022-06-09 02:00:00,0
2022-06-09 08:00:00,26.9
2022-06-09 14:00:00,59.8
2022-06-09 20:00:00,0.431
2022-06-10 02:00:00,0
2022-06-10 08:00:00,44.2
2022-06-10 14:00:00,96.8
2022-06-10 20:00:00,13.7
2022-06-11 02:00:00,0
2022-06-11 08:00:00,66.9
2022-06-11 14:00:00,98.9
2022-06-11 20:00:00,21.2
2022-06-12 02:00:00,0.00556
2022-06-12 08:00:00,61.3
2022-06-12 14:00:00,96.4
2022-06-12 20:00:00,21.9
2022-06-13 02:00:00,0
2022-06-13 08:00:00,51.9
2022-06-13 14:00:00,82.0
2022-06-13 20:00:00,4.38
2022-06-14 02:00:00,0.00350
2022-06-14 08:00:00,48.2
2022-06-14 14:00:00,94.1
2022-06-14 20:00:00,8.20
2022-06-15 02:00:00,0.00417
2022-06-15 08:00:00,39.7
2022-06-15 14:00:00,94.3
2022-06-15 20:00:00,15.5
2022-06-16 02:00:00,0.00347
2022-06-16 08:00:00,49.9
2022-06-16 14:00:00,97.1
2022-06-16 20:00:00,13.9
2022-06-17 02:00:00,0.00417
2022-06-17 08:00:00,50.4
2022-06-17 14:00:00,96.8
2022-06-17 20:00:00,12.0
2022-06-18 02:00:00,0.00486
2022-06-18 08:00:00,58.2
2022-06-18 14:00:00,97.7
2022-06-18 20:00:00,17.2
2022-06-19 02:00:00,0.00417
2022-06-19 08:00:00,53.5
2022-06-19 14:00:00,97.2
2022-06-19 20:00:00,15.3
2022-06-20 02:00:00,0
2022-06-20 08:00:00,0.535
2022-06-20 14:00:00,7.20
2022-06-20 20:00:00,0
2022-06-21 02:00:00,0
2022-06-21 08:00:00,26.6
2022-06-21 14:00:00,95.3
2022-06-21 20:00:00,10.4
2022-06-22 02:00:00,0
2022-06-22 08:00:00,0
2022-06-22 14:00:00,0.00417
2022-06-22 20:00:00,0
2022-06-23 02:00:00,0
2022-06-23 08:00:00,23.6
2022-06-23 14:00:00,82.4
2022-06-23 20:00:00,2.35
2022-06-24 02:00:00,0.00347
2022-06-24 08:00:00,22.9
2022-06-24 14:00:00,32.7
2022-06-24 20:00:00,0
2022-06-25 02:00:00,0.00417
2022-06-25 08:00:00,51.0
2022-06-25 14:00:00,92.3
2022-06-25 20:00:00,22.9
2022-06-26 02:00:00,0
2022-06-26 08:00:00,42.6
2022-06-26 14:00:00,98.3
2022-06-26 20:00:00,22.3
2022-06-27 02:00:00,0
2022-06-27 08:00:00,0.313
2022-06-27 14:00:00,0.850
2022-06-27 20:00:00,0
2022-06-28 02:00:00,0
2022-06-28 08:00:00,42.1
2022-06-28 14:00:00,90.4
2022-06-28 20:00:00,6.81
2022-06-29 02:00:00,0
2022-06-29 08:00:00,11.7
2022-06-29 14:00:00,82.4
2022-06-29 20:00:00,10.9
2022-06-30 02:00:00,0.00417
2022-06-30 08:00:00,20.8
2022-06-30 14:00:00,79.7
2022-06-30 20:00:00,2.53
2022-07-01 02:00:00,0.00347
2022-07-01 08:00:00,5.12
2022-07-01 14:00:00,51.7
2022-07-01 20:00:00,4.88
2022-07-02 02:00:00,0.00417
2022-07-02 08:00:00,59.7
2022-07-02 14:00:00,99.0
2022-07-02 20:00:00,23.5
2022-07-03 02:00:00,0
2022-07-03 08:00:00,58.0
2022-07-03 14:00:00,97.9
2022-07-03 20:00:00,17.9
2022-07-04 02:00:00,0
2022-07-04 08:00:00,38.3
2022-07-04 14:00:00,96.1
2022-07-04 20:00:00,14.4
2022-07-05 02:00:00,0
2022-07-05 08:00:00,44.4
2022-07-05 14:00:00,92.3
2022-07-05 20:00:00,7.88
2022-07-06 02:00:00,0
2022-07-06 08:00:00,38.5
2022-07-06 14:00:00,85.4
2022-07-06 20:00:00,5.67
2022-07-07 02:00:00,0
2022-07-07 08:00:00,0.485
2022-07-07 14:00:00,0.294
2022-07-07 20:00:00,0
2022-07-08 02:00:00,0
2022-07-08 08:00:00,34.6
2022-07-08 14:00:00,96.9
2022-07-08 20:00:00,13.7
2022-07-09 02:00:00,0
2022-07-09 08:00:00,56.3
2022-07-09 14:00:00,95.4
2022-07-09 20:00:00,13.1
2022-07-10 02:00:00,0
2022-07-10 08:00:00,36.1
2022-07-10 14:00:00,92.6
2022-07-10 20:00:00,6.45
2022-07-11 02:00:00,0
2022-07-11 08:00:00,17.1
2022-07-11 14:00:00,32.6
2022-07-11 20:00:00,0.00556
2022-07-12 02:00:00,0.00420
2022-07-12 08:00:00,45.0
2022-07-12 14:00:00,94.3
2022-07-12 20:00:00,7.98
2022-07-13 02:00:00,0
2022-07-13 08:00:00,24.3
2022-07-13 14:00:00,21.0
2022-07-13 20:00:00,0
2022-07-14 02:00:00,0
2022-07-14 08:00:00,18.6
2022-07-14 14:00:00,34.2
2022-07-14 20:00:00,0
2022-07-15 02:00:00,0
2022-07-15 08:00:00,41.3
2022-07-15 14:00:00,95.6
2022-07-15 20:00:00,11.8
2022-07-16 02:00:00,0
2022-07-16 08:00:00,61.0
2022-07-16 14:00:00,95.9
2022-07-16 20:00:00,11.0
2022-07-17 02:00:00,0
2022-07-17 08:00:00,57.1
2022-07-17 14:00:00,95.4
2022-07-17 20:00:00,7.34
2022-07-18 02:00:00,0
2022-07-18 08:00:00,34.4
2022-07-18 14:00:00,92.2
2022-07-18 20:00:00,6.95
2022-07-19 02:00:00,0
2022-07-19 08:00:00,16.5
2022-07-19 14:00:00,92.1
2022-07-19 20:00:00,7.63
2022-07-20 02:00:00,0
2022-07-20 08:00:00,6.35
2022-07-21 02:00:00,0
2022-07-21 08:00:00,2.83
2022-07-21 14:00:00,54.0
2022-07-21 20:00:00,2.02
2022-07-22 02:00:00,0.00417
2022-07-22 08:00:00,44.0
2022-07-22 14:00:00,90.5
2022-07-22 20:00:00,4.57
2022-07-23 02:00:00,0.00208
2022-07-23 08:00:00,42.6
2022-07-23 14:00:00,93.9
2022-07-23 20:00:00,10.0
2022-07-24 02:00:00,0.00208
2022-07-24 08:00:00,51.6
2022-07-24 14:00:00,96.2
2022-07-24 20:00:00,12.0
2022-07-25 02:00:00,0.00208
2022-07-25 08:00:00,10.6
2022-07-25 14:00:00,4.44
2022-07-25 20:00:00,0
2022-07-26 02:00:00,0
2022-07-26 08:00:00,10.9
2022-07-26 14:00:00,44.2
2022-07-26 20:00:00,0.471
2022-07-27 02:00:00,0
2022-07-27 08:00:00,16.4
2022-07-27 14:00:00,68.8
2022-07-27 20:00:00,4.62
2022-07-28 02:00:00,0.00417
2022-07-28 08:00:00,46.3
2022-07-28 14:00:00,74.3
2022-07-28 20:00:00,2.24
2022-07-29 02:00:00,0.00417
2022-07-29 08:00:00,13.6
2022-07-29 14:00:00,27.3
2022-07-29 20:00:00,0
2022-07-30 02:00:00,0.00347
2022-07-30 08:00:00,56.5
2022-07-30 14:00:00,95.0
2022-07-30 20:00:00,11.4
2022-07-31 02:00:00,0
2022-07-31 08:00:00,36.1
2022-07-31 14:00:00,90.1
2022-07-31 20:00:00,9.97
2022-08-01 02:00:00,0
2022-08-01 08:00:00,3.87
2022-08-01 14:00:00,3.54
2022-08-01 20:00:00,0
2022-08-02 02:00:00,0
2022-08-02 08:00:00,28.8
2022-08-02 14:00:00,89.7
2022-08-02 20:00:00,4.01
2022-08-03 02:00:00,0
2022-08-03 08:00:00,20.3
2022-08-03 14:00:00,86.0
2022-08-03 20:00:00,2.73
2022-08-04 02:00:00,0
2022-08-04 08:00:00,17.9
2022-08-04 14:00:00,83.1
2022-08-04 20:00:00,1.45
2022-08-05 02:00:00,0
2022-08-05 08:00:00,14.7
2022-08-05 14:00:00,62.7
2022-08-05 20:00:00,0.306
2022-08-06 02:00:00,0.00417
2022-08-06 08:00:00,47.7
2022-08-06 14:00:00,96.6
2022-08-06 20:00:00,13.2
2022-08-07 02:00:00,0
2022-08-07 08:00:00,50.7
2022-08-07 14:00:00,96.0
2022-08-07 20:00:00,12.0
2022-08-08 02:00:00,0
2022-08-08 08:00:00,35.8
2022-08-08 14:00:00,92.0
2022-08-08 20:00:00,6.46
2022-08-09 02:00:00,0
2022-08-09 08:00:00,0.0592
2022-08-09 14:00:00,0
2022-08-09 20:00:00,0
2022-08-10 02:00:00,0
2022-08-10 08:00:00,0
2022-08-10 14:00:00,0
2022-08-10 20:00:00,0
2022-08-11 02:00:00,0.00417
2022-08-11 08:00:00,0.101
2022-08-11 14:00:00,21.2
2022-08-11 20:00:00,0.0833
2022-08-12 02:00:00,0.00417
2022-08-12 08:00:00,42.0
2022-08-12 14:00:00,94.9
2022-08-12 20:00:00,8.44
2022-08-13 02:00:00,0
2022-08-13 08:00:00,54.4
2022-08-13 14:00:00,97.2
2022-08-13 20:00:00,15.5
2022-08-14 02:00:00,0
2022-08-14 08:00:00,53.6
2022-08-14 14:00:00,92.4
2022-08-14 20:00:00,9.52
2022-08-15 02:00:00,0
2022-08-15 08:00:00,11.1
2022-08-15 14:00:00,61.3
2022-08-15 20:00:00,4.28
2022-08-16 02:00:00,0.00349
2022-08-16 08:00:00,26.8
2022-08-16 14:00:00,94.3
2022-08-16 20:00:00,12.7
2022-08-17 02:00:00,0
2022-08-17 08:00:00,0.0285
2022-08-17 14:00:00,21.0
2022-08-17 20:00:00,0
2022-08-18 02:00:00,0.00417
2022-08-18 08:00:00,0.613
2022-08-18 14:00:00,44.5
2022-08-18 20:00:00,0.932
2022-08-19 02:00:00,0.00417
2022-08-19 08:00:00,22.9
2022-08-19 14:00:00,80.1
2022-08-19 20:00:00,3.40
2022-08-20 02:00:00,0.00417
2022-08-20 08:00:00,17.4
2022-08-20 14:00:00,96.4
2022-08-20 20:00:00,19.3
2022-08-21 02:00:00,0
2022-08-21 08:00:00,53.1
2022-08-21 14:00:00,96.4
2022-08-21 20:00:00,16.9
2022-08-22 02:00:00,0
2022-08-22 08:00:00,43.5
2022-08-22 14:00:00,90.7
2022-08-22 20:00:00,8.42
2022-08-23 02:00:00,0.00211
2022-08-23 08:00:00,20.7
2022-08-23 14:00:00,90.0
2022-08-23 20:00:00,6.77
2022-08-24 02:00:00,0
2022-08-24 08:00:00,30.9
2022-08-24 14:00:00,91.2
2022-08-24 20:00:00,6.31
2022-08-25 02:00:00,0
2022-08-25 08:00:00,26.0
2022-08-25 14:00:00,86.9
2022-08-25 20:00:00,5.57
2022-08-26 02:00:00,0.00418
2022-08-26 08:00:00,19.6
2022-08-26 14:00:00,84.7
2022-08-26 20:00:00,2.95
2022-08-27 02:00:00,0.00417
2022-08-27 08:00:00,0
2022-08-27 14:00:00,9.50
2022-08-27 20:00:00,0.00556
2022-08-28 02:00:00,0
2022-08-28 08:00:00,31.1
2022-08-28 14:00:00,94.8
2022-08-28 20:00:00,18.0
2022-08-29 02:00:00,0
2022-08-29 08:00:00,25.0
2022-08-29 14:00:00,93.1
2022-08-29 20:00:00,12.2
2022-08-30 02:00:00,0
2022-08-30 08:00:00,13.3
2022-08-30 14:00:00,47.0
2022-08-30 20:00:00,0.00627
2022-08-31 02:00:00,0.00417
2022-08-31 08:00:00,0
2022-08-31 14:00:00,0.625
2022-08-31 20:00:00,0

