"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              01/06/2022 00:00 - 01/06/2022 01:00,"BZN|DE-LU","PT60M",220.00,"EUR"
              01/06/2022 01:00 - 01/06/2022 02:00,"BZN|DE-LU","PT60M",207.45,"EUR"
              01/06/2022 02:00 - 01/06/2022 03:00,"BZN|DE-LU","PT60M",199.09,"EUR"
              01/06/2022 03:00 - 01/06/2022 04:00,"BZN|DE-LU","PT60M",182.53,"EUR"
              01/06/2022 04:00 - 01/06/2022 05:00,"BZN|DE-LU","PT60M",182.28,"EUR"
              01/06/2022 05:00 - 01/06/2022 06:00,"BZN|DE-LU","PT60M",198.95,"EUR"
              01/06/2022 06:00 - 01/06/2022 07:00,"BZN|DE-LU","PT60M",230.00,"EUR"
              01/06/2022 07:00 - 01/06/2022 08:00,"BZN|DE-LU","PT60M",249.68,"EUR"
              01/06/2022 08:00 - 01/06/2022 09:00,"BZN|DE-LU","PT60M",246.36,"EUR"
              01/06/2022 09:00 - 01/06/2022 10:00,"BZN|DE-LU","PT60M",228.82,"EUR"
              01/06/2022 10:00 - 01/06/2022 11:00,"BZN|DE-LU","PT60M",211.80,"EUR"
              01/06/2022 11:00 - 01/06/2022 12:00,"BZN|DE-LU","PT60M",206.60,"EUR"
              01/06/2022 12:00 - 01/06/2022 13:00,"BZN|DE-LU","PT60M",189.77,"EUR"
              01/06/2022 13:00 - 01/06/2022 14:00,"BZN|DE-LU","PT60M",184.86,"EUR"
              01/06/2022 14:00 - 01/06/2022 15:00,"BZN|DE-LU","PT60M",184.86,"EUR"
              01/06/2022 15:00 - 01/06/2022 16:00,"BZN|DE-LU","PT60M",180.04,"EUR"
              01/06/2022 16:00 - 01/06/2022 17:00,"BZN|DE-LU","PT60M",181.60,"EUR"
              01/06/2022 17:00 - 01/06/2022 18:00,"BZN|DE-LU","PT60M",199.71,"EUR"
              01/06/2022 18:00 - 01/06/2022 19:00,"BZN|DE-LU","PT60M",229.92,"EUR"
              01/06/2022 19:00 - 01/06/2022 20:00,"BZN|DE-LU","PT60M",251.98,"EUR"
              01/06/2022 20:00 - 01/06/2022 21:00,"BZN|DE-LU","PT60M",257.71,"EUR"
              01/06/2022 21:00 - 01/06/2022 22:00,"BZN|DE-LU","PT60M",262.60,"EUR"
              01/06/2022 22:00 - 01/06/2022 23:00,"BZN|DE-LU","PT60M",250.00,"EUR"
              01/06/2022 23:00 - 02/06/2022 00:00,"BZN|DE-LU","PT60M",230.33,"EUR"
              02/06/2022 00:00 - 02/06/2022 01:00,"BZN|DE-LU","PT60M",191.00,"EUR"
              02/06/2022 01:00 - 02/06/2022 02:00,"BZN|DE-LU","PT60M",175.04,"EUR"
              02/06/2022 02:00 - 02/06/2022 03:00,"BZN|DE-LU","PT60M",169.33,"EUR"
              02/06/2022 03:00 - 02/06/2022 04:00,"BZN|DE-LU","PT60M",161.96,"EUR"
              02/06/2022 04:00 - 02/06/2022 05:00,"BZN|DE-LU","PT60M",165.05,"EUR"
              02/06/2022 05:00 - 02/06/2022 06:00,"BZN|DE-LU","PT60M",171.70,"EUR"
              02/06/2022 06:00 - 02/06/2022 07:00,"BZN|DE-LU","PT60M",209.65,"EUR"
              02/06/2022 07:00 - 02/06/2022 08:00,"BZN|DE-LU","PT60M",223.10,"EUR"
              02/06/2022 08:00 - 02/06/2022 09:00,"BZN|DE-LU","PT60M",218.13,"EUR"
              02/06/2022 09:00 - 02/06/2022 10:00,"BZN|DE-LU","PT60M",190.26,"EUR"
              02/06/2022 10:00 - 02/06/2022 11:00,"BZN|DE-LU","PT60M",173.81,"EUR"
              02/06/2022 11:00 - 02/06/2022 12:00,"BZN|DE-LU","PT60M",167.50,"EUR"
              02/06/2022 12:00 - 02/06/2022 13:00,"BZN|DE-LU","PT60M",162.51,"EUR"
              02/06/2022 13:00 - 02/06/2022 14:00,"BZN|DE-LU","PT60M",152.80,"EUR"
              02/06/2022 14:00 - 02/06/2022 15:00,"BZN|DE-LU","PT60M",150.40,"EUR"
              02/06/2022 15:00 - 02/06/2022 16:00,"BZN|DE-LU","PT60M",154.80,"EUR"
              02/06/2022 16:00 - 02/06/2022 17:00,"BZN|DE-LU","PT60M",164.86,"EUR"
              02/06/2022 17:00 - 02/06/2022 18:00,"BZN|DE-LU","PT60M",174.74,"EUR"
              02/06/2022 18:00 - 02/06/2022 19:00,"BZN|DE-LU","PT60M",218.05,"EUR"
