"Time","Charge State"
2022-04-30 20:00:00,0
2022-05-01 02:00:00,0
2022-05-01 08:00:00,23.9
2022-05-01 14:00:00,68.2
2022-05-01 20:00:00,2.48
2022-05-02 02:00:00,0
2022-05-02 08:00:00,31.6
2022-05-02 14:00:00,61.3
2022-05-02 20:00:00,0.00208
2022-05-03 02:00:00,0.00280
2022-05-03 08:00:00,55.4
2022-05-03 14:00:00,40.0
2022-05-03 20:00:00,0.00211
2022-05-04 02:00:00,0.00278
2022-05-04 08:00:00,32.0
2022-05-04 14:00:00,66.0
2022-05-04 20:00:00,0.00208
2022-05-05 02:00:00,0.00347
2022-05-05 08:00:00,0.00417
2022-05-05 14:00:00,0.0215
2022-05-05 20:00:00,0
2022-05-06 02:00:00,0
2022-05-06 08:00:00,34.5
2022-05-06 14:00:00,98.7
2022-05-06 20:00:00,14.8
2022-05-07 02:00:00,0.0181
2022-05-07 08:00:00,75.4
2022-05-07 14:00:00,98.3
2022-05-07 20:00:00,19.2
2022-05-08 02:00:00,0
2022-05-08 08:00:00,73.5
2022-05-08 14:00:00,99.7
2022-05-08 20:00:00,24.0
2022-05-09 02:00:00,0.00348
2022-05-09 08:00:00,61.0
2022-05-09 14:00:00,91.7
2022-05-09 20:00:00,2.91
2022-05-10 02:00:00,0.00347
2022-05-10 08:00:00,48.6
2022-05-10 14:00:00,75.9
2022-05-10 20:00:00,0.00208
2022-05-11 02:00:00,0.00347
2022-05-11 08:00:00,58.9
2022-05-11 14:00:00,80.5
2022-05-11 20:00:00,0.0375
2022-05-12 02:00:00,0.00347
2022-05-12 08:00:00,25.0
2022-05-12 14:00:00,53.6
2022-05-12 20:00:00,0
2022-05-13 02:00:00,0
2022-05-13 08:00:00,33.7
2022-05-13 14:00:00,92.5
2022-05-13 20:00:00,3.43
2022-05-14 02:00:00,0.0604
2022-05-14 08:00:00,72.5
2022-05-14 14:00:00,98.2
2022-05-14 20:00:00,14.4
2022-05-15 02:00:00,0.00486
2022-05-15 08:00:00,68.8
2022-05-15 14:00:00,98.5
2022-05-15 20:00:00,14.8
2022-05-16 02:00:00,0.00417
2022-05-16 08:00:00,19.9
2022-05-16 14:00:00,19.4
2022-05-16 20:00:00,0
2022-05-17 02:00:00,0
2022-05-17 08:00:00,54.6
2022-05-17 14:00:00,90.7
2022-05-17 20:00:00,1.95
2022-05-18 02:00:00,0.00417
2022-05-18 08:00:00,49.4
2022-05-18 14:00:00,86.8
2022-05-18 20:00:00,0.438
2022-05-19 02:00:00,0.00417
2022-05-19 08:00:00,43.9
2022-05-19 14:00:00,69.3
2022-05-19 20:00:00,0.00208
2022-05-20 02:00:00,0.00278
2022-05-20 08:00:00,59.8
2022-05-20 14:00:00,39.8
2022-05-20 20:00:00,0
2022-05-21 02:00:00,0
2022-05-21 08:00:00,57.9
2022-05-21 14:00:00,96.5
2022-05-21 20:00:00,12.1
2022-05-22 02:00:00,0
2022-05-22 08:00:00,70.0
2022-05-22 14:00:00,87.3
2022-05-22 20:00:00,2.38
2022-05-23 02:00:00,0
2022-05-23 08:00:00,23.5
2022-05-23 14:00:00,30.2
2022-05-23 20:00:00,0
2022-05-24 02:00:00,0
2022-05-24 08:00:00,18.6
2022-05-24 14:00:00,66.4
2022-05-24 20:00:00,0.167
2022-05-25 02:00:00,0.00208
2022-05-25 08:00:00,54.3
2022-05-25 14:00:00,77.0
2022-05-25 20:00:00,4.49
2022-05-26 02:00:00,0
2022-05-26 08:00:00,25.9
2022-05-26 14:00:00,93.7
2022-05-26 20:00:00,11.2
2022-05-27 02:00:00,0.00347
2022-05-27 08:00:00,7.73
2022-05-27 14:00:00,30.6
2022-05-27 20:00:00,2.07
2022-05-28 02:00:00,0.0486
2022-05-28 08:00:00,77.2
2022-05-28 14:00:00,96.0
2022-05-28 20:00:00,11.3
2022-05-29 02:00:00,0.00417
2022-05-29 08:00:00,47.9
2022-05-29 14:00:00,98.8
2022-05-29 20:00:00,23.0
2022-05-30 02:00:00,0
2022-05-30 08:00:00,63.2
2022-05-30 14:00:00,91.0
2022-05-30 20:00:00,16.0
2022-05-31 02:00:00,0.0475
2022-05-31 08:00:00,55.1
2022-05-31 14:00:00,64.6
2022-05-31 20:00:00,0.00208
2022-06-01 02:00:00,0
2022-06-01 08:00:00,63.4
2022-06-01 14:00:00,89.8
2022-06-01 20:00:00,3.18
2022-06-02 02:00:00,0.00347
2022-06-02 08:00:00,63.3
2022-06-02 14:00:00,92.9
2022-06-02 20:00:00,4.18
2022-06-03 02:00:00,0.00417
2022-06-03 08:00:00,58.0
2022-06-03 14:00:00,20.9
2022-06-03 20:00:00,0.00417
2022-06-04 02:00:00,0
2022-06-04 08:00:00,4.71
2022-06-04 14:00:00,89.7
2022-06-04 20:00:00,14.6
2022-06-05 02:00:00,0.00417
2022-06-05 08:00:00,39.8
2022-06-05 14:00:00,81.9
2022-06-05 20:00:00,10.7
2022-06-06 02:00:00,0
2022-06-06 08:00:00,49.7
2022-06-06 14:00:00,66.7
2022-06-06 20:00:00,0.00208
2022-06-07 02:00:00,3001375
2022-06-07 08:00:00,37.7
2022-06-07 14:00:00,64.2
2022-06-07 20:00:00,0.145
2022-06-08 02:00:00,0
2022-06-08 08:00:00,60.6
2022-06-08 14:00:00,25.2
2022-06-08 20:00:00,0
2022-06-09 02:00:00,0
2022-06-09 08:00:00,27.1
2022-06-09 14:00:00,38.5
2022-06-09 20:00:00,0
2022-06-10 02:00:00,0
2022-06-10 08:00:00,61.0
2022-06-10 14:00:00,93.3
2022-06-10 20:00:00,3.40
2022-06-11 02:00:00,0.00417
2022-06-11 08:00:00,72.5
2022-06-11 14:00:00,98.5
2022-06-11 20:00:00,11.0
2022-06-12 02:00:00,0.0236
2022-06-12 08:00:00,71.9
2022-06-12 14:00:00,90.8
2022-06-12 20:00:00,8.70
2022-06-13 02:00:00,0.00417
2022-06-13 08:00:00,60.7
2022-06-13 14:00:00,77.7
2022-06-13 20:00:00,2.08
2022-06-14 02:00:00,0.00420
2022-06-14 08:00:00,65.5
2022-06-14 14:00:00,89.5
2022-06-14 20:00:00,1.06
2022-06-15 02:00:00,0.00347
2022-06-15 08:00:00,64.1
2022-06-15 14:00:00,85.8
2022-06-15 20:00:00,1.30
2022-06-16 02:00:00,0.00139
2022-06-16 08:00:00,63.8
2022-06-16 14:00:00,95.5
2022-06-16 20:00:00,5.17
2022-06-17 02:00:00,0.00417
2022-06-17 08:00:00,68.6
2022-06-17 14:00:00,95.5
2022-06-17 20:00:00,4.79
2022-06-18 02:00:00,0.00417
2022-06-18 08:00:00,72.4
2022-06-18 14:00:00,96.2
2022-06-18 20:00:00,7.52
2022-06-19 02:00:00,0.00347
2022-06-19 08:00:00,66.7
2022-06-19 14:00:00,96.1
2022-06-19 20:00:00,7.15
2022-06-20 02:00:00,0.00417
2022-06-20 08:00:00,1.95
2022-06-20 14:00:00,17.3
2022-06-20 20:00:00,0
2022-06-21 02:00:00,0
2022-06-21 08:00:00,30.0
2022-06-21 14:00:00,88.4
2022-06-21 20:00:00,0.711
2022-06-22 02:00:00,0
2022-06-22 08:00:00,0.00417
2022-06-22 14:00:00,0
2022-06-22 20:00:00,0
2022-06-23 02:00:00,0
2022-06-23 08:00:00,43.7
2022-06-23 14:00:00,4166714802
2022-06-23 20:00:00,4294967295
2022-06-24 02:00:00,4294967295
2022-06-24 08:00:00,4294967295
2022-06-24 14:00:00,4294967295
2022-06-24 20:00:00,4294967295
2022-06-25 02:00:00,4294967295
2022-06-25 08:00:00,4294967295
2022-06-25 14:00:00,4294967295
2022-06-25 20:00:00,4294967295
2022-06-26 02:00:00,4294967295
2022-06-26 08:00:00,4294967295
2022-06-26 14:00:00,4294967295
2022-06-26 20:00:00,4294967295
2022-06-27 02:00:00,4294967295
2022-06-27 08:00:00,4294967295
2022-06-27 14:00:00,4294967295
2022-06-27 20:00:00,4294967295
2022-06-28 02:00:00,4294967295
2022-06-28 08:00:00,4294967295
2022-06-28 14:00:00,633290141
2022-06-28 20:00:00,0
2022-06-29 02:00:00,0.00347
2022-06-29 08:00:00,23.4
2022-06-29 14:00:00,85.8
2022-06-29 20:00:00,1.02
2022-06-30 02:00:00,0.00208
2022-06-30 08:00:00,38.7
2022-06-30 14:00:00,70.7
2022-06-30 20:00:00,0
2022-07-01 02:00:00,0
2022-07-01 08:00:00,7.05
2022-07-01 14:00:00,60.2
2022-07-01 20:00:00,2.78
2022-07-02 02:00:00,0.00347
2022-07-02 08:00:00,71.0
2022-07-02 14:00:00,98.4
2022-07-02 20:00:00,11.9
2022-07-03 02:00:00,0.00417
2022-07-03 08:00:00,69.0
2022-07-03 14:00:00,97.6
2022-07-03 20:00:00,9.74
2022-07-04 02:00:00,0
2022-07-04 08:00:00,52.2
2022-07-04 14:00:00,91.3
2022-07-04 20:00:00,2.68
2022-07-05 02:00:00,0.00347
2022-07-05 08:00:00,51.3
2022-07-05 14:00:00,88.4
2022-07-05 20:00:00,1.32
2022-07-06 02:00:00,0
2022-07-06 08:00:00,48.8
2022-07-06 14:00:00,68.7
2022-07-06 20:00:00,0
2022-07-07 02:00:00,0
2022-07-07 08:00:00,0.406
2022-07-07 14:00:00,0.694
2022-07-07 20:00:00,0
2022-07-08 02:00:00,0
2022-07-08 08:00:00,41.9
2022-07-08 14:00:00,94.5
2022-07-08 20:00:00,4.07
2022-07-09 02:00:00,0
2022-07-09 08:00:00,66.5
2022-07-09 14:00:00,92.6
2022-07-09 20:00:00,5.99
2022-07-10 02:00:00,0.00347
2022-07-10 08:00:00,39.6
2022-07-10 14:00:00,91.7
2022-07-10 20:00:00,4.07
2022-07-11 02:00:00,0
2022-07-11 08:00:00,29.1
2022-07-11 14:00:00,46.8
2022-07-11 20:00:00,0
2022-07-12 02:00:00,0.00420
2022-07-12 08:00:00,55.0
2022-07-12 14:00:00,89.9
2022-07-12 20:00:00,1.23
2022-07-13 02:00:00,0
2022-07-13 08:00:00,35.8
2022-07-13 14:00:00,25.2
2022-07-13 20:00:00,0
2022-07-14 02:00:00,0
2022-07-14 08:00:00,28.5
2022-07-14 14:00:00,38.6
2022-07-14 20:00:00,0
2022-07-15 02:00:00,0
2022-07-15 08:00:00,54.2
2022-07-15 14:00:00,91.3
2022-07-15 20:00:00,1.99
2022-07-16 02:00:00,0
2022-07-16 08:00:00,64.3
2022-07-16 14:00:00,93.9
2022-07-16 20:00:00,4.72
2022-07-17 02:00:00,0
2022-07-17 08:00:00,62.6
2022-07-17 14:00:00,93.9
2022-07-17 20:00:00,3.28
2022-07-18 02:00:00,0
2022-07-18 08:00:00,48.5
2022-07-18 14:00:00,82.8
2022-07-18 20:00:00,0.0556
2022-07-19 02:00:00,0.00140
2022-07-19 08:00:00,33.2
2022-07-19 14:00:00,75.5
2022-07-19 20:00:00,0
2022-07-20 02:00:00,0
2022-07-20 08:00:00,14.5
2022-07-21 02:00:00,0
2022-07-21 08:00:00,3.45
2022-07-21 14:00:00,55.6
2022-07-21 20:00:00,0
2022-07-22 02:00:00,1867117727
2022-07-22 08:00:00,1303403311
2022-07-22 14:00:00,84.0
2022-07-22 20:00:00,0.0910
2022-07-23 02:00:00,0.00208
2022-07-23 08:00:00,51.6
2022-07-23 14:00:00,90.3
2022-07-23 20:00:00,1.91
2022-07-24 02:00:00,0.00208
2022-07-24 08:00:00,65.4
2022-07-24 14:00:00,94.6
2022-07-24 20:00:00,4.48
2022-07-25 02:00:00,0
2022-07-25 08:00:00,43.3
2022-07-25 14:00:00,32.0
2022-07-25 20:00:00,0
2022-07-26 02:00:00,0.00347
2022-07-26 08:00:00,16.9
2022-07-26 14:00:00,62.1
2022-07-26 20:00:00,0.0590
2022-07-27 02:00:00,0
2022-07-27 08:00:00,35.0
2022-07-27 14:00:00,69.2
2022-07-27 20:00:00,0
2022-07-28 02:00:00,0.00417
2022-07-28 08:00:00,50.3
2022-07-28 14:00:00,52.3
2022-07-28 20:00:00,0
2022-07-29 02:00:00,0
2022-07-29 08:00:00,26.6
2022-07-29 14:00:00,25.0
2022-07-29 20:00:00,0
2022-07-30 02:00:00,0.00347
2022-07-30 08:00:00,58.3
2022-07-30 14:00:00,91.1
2022-07-30 20:00:00,3.56
2022-07-31 02:00:00,0
2022-07-31 08:00:00,52.8
2022-07-31 14:00:00,79.9
2022-07-31 20:00:00,1.27
2022-08-01 02:00:00,0
2022-08-01 08:00:00,8.67
2022-08-01 14:00:00,7.61
2022-08-01 20:00:00,0
2022-08-02 02:00:00,0
2022-08-02 08:00:00,39.7
2022-08-02 14:00:00,77.1
2022-08-02 20:00:00,0
2022-08-03 02:00:00,0
2022-08-03 08:00:00,33.5
2022-08-03 14:00:00,71.6
2022-08-03 20:00:00,0
2022-08-04 02:00:00,0
2022-08-04 08:00:00,30.1
2022-08-04 14:00:00,69.9
2022-08-04 20:00:00,0
2022-08-05 02:00:00,0
2022-08-05 08:00:00,22.7
2022-08-05 14:00:00,51.9
2022-08-05 20:00:00,0
2022-08-06 02:00:00,0
2022-08-06 08:00:00,52.3
2022-08-06 14:00:00,89.9
2022-08-06 20:00:00,0.999
2022-08-07 02:00:00,0
2022-08-07 08:00:00,56.5
2022-08-07 14:00:00,88.0
2022-08-07 20:00:00,0.515
2022-08-08 02:00:00,0
2022-08-08 08:00:00,44.5
2022-08-08 14:00:00,81.5
2022-08-08 20:00:00,0
2022-08-09 02:00:00,0
2022-08-09 08:00:00,0.258
2022-08-09 14:00:00,0
2022-08-09 20:00:00,0
2022-08-10 02:00:00,0
2022-08-10 08:00:00,0.162
2022-08-10 14:00:00,0.164
2022-08-10 20:00:00,0
2022-08-11 02:00:00,0
2022-08-11 08:00:00,8.61
2022-08-11 14:00:00,62.2
2022-08-11 20:00:00,0.0458
2022-08-12 02:00:00,0.00347
2022-08-12 08:00:00,55.4
2022-08-12 14:00:00,91.1
2022-08-12 20:00:00,2.81
2022-08-13 02:00:00,0
2022-08-13 08:00:00,63.3
2022-08-13 14:00:00,95.4
2022-08-13 20:00:00,5.22
2022-08-14 02:00:00,0
2022-08-14 08:00:00,62.9
2022-08-14 14:00:00,86.7
2022-08-14 20:00:00,0.895
2022-08-15 02:00:00,0
2022-08-15 08:00:00,11.9
2022-08-15 14:00:00,50.4
2022-08-15 20:00:00,0
2022-08-16 02:00:00,0
2022-08-16 08:00:00,31.8
2022-08-16 14:00:00,88.4
2022-08-16 20:00:00,1.10
2022-08-17 02:00:00,0
2022-08-17 08:00:00,0.0576
2022-08-17 14:00:00,19.8
2022-08-17 20:00:00,0
2022-08-18 02:00:00,0
2022-08-18 08:00:00,1.86
2022-08-18 14:00:00,65.1
2022-08-18 20:00:00,0
2022-08-19 02:00:00,0
2022-08-19 08:00:00,29.8
2022-08-19 14:00:00,65.6
2022-08-19 20:00:00,0
2022-08-20 02:00:00,0
2022-08-20 08:00:00,21.2
2022-08-20 14:00:00,94.0
2022-08-20 20:00:00,3.79
2022-08-21 02:00:00,0
2022-08-21 08:00:00,60.2
2022-08-21 14:00:00,93.1
2022-08-21 20:00:00,2.47
2022-08-22 02:00:00,0.00556
2022-08-22 08:00:00,51.6
2022-08-22 14:00:00,88.9
2022-08-22 20:00:00,1.77
2022-08-23 02:00:00,0.00352
2022-08-23 08:00:00,51.8
2022-08-23 14:00:00,80.7
2022-08-23 20:00:00,0.0222
2022-08-24 02:00:00,0.00625
2022-08-24 08:00:00,44.2
2022-08-24 14:00:00,82.9
2022-08-24 20:00:00,0.234
2022-08-25 02:00:00,0.00347
2022-08-25 08:00:00,46.7
2022-08-25 14:00:00,72.6
2022-08-25 20:00:00,0
2022-08-26 02:00:00,0
2022-08-26 08:00:00,31.0
2022-08-26 14:00:00,76.7
2022-08-26 20:00:00,0.00208
2022-08-27 02:00:00,0.00417
2022-08-27 08:00:00,0.0382
2022-08-27 14:00:00,22.9
2022-08-27 20:00:00,0.247
2022-08-28 02:00:00,0.00347
2022-08-28 08:00:00,44.0
2022-08-28 14:00:00,93.3
2022-08-28 20:00:00,4.97
2022-08-29 02:00:00,0.00417
2022-08-29 08:00:00,44.3
2022-08-29 14:00:00,84.9
2022-08-29 20:00:00,0.183
2022-08-30 02:00:00,0.00417
2022-08-30 08:00:00,27.6
2022-08-30 14:00:00,68.0
2022-08-30 20:00:00,0
2022-08-31 02:00:00,0.00347
2022-08-31 08:00:00,0
2022-08-31 14:00:00,0
2022-08-31 20:00:00,0

