"Time","PVGen"
"2022-07-01 00:00:00","0 W"
"2022-07-01 01:00:00","0 W"
"2022-07-01 02:00:00","0 W"
"2022-07-01 03:00:00","0 W"
"2022-07-01 04:00:00","0 W"
"2022-07-01 05:00:00","0 W"
"2022-07-01 06:00:00","932 W"
"2022-07-01 07:00:00","859 W"
"2022-07-01 08:00:00","4.03 kW"
"2022-07-01 09:00:00","6.42 kW"
"2022-07-01 10:00:00","7.65 kW"
"2022-07-01 11:00:00","22.3 kW"
"2022-07-01 12:00:00","26.0 kW"
"2022-07-01 13:00:00","45.1 kW"
"2022-07-01 14:00:00","28.0 kW"
"2022-07-01 15:00:00","26.7 kW"
"2022-07-01 16:00:00","26.2 kW"
"2022-07-01 17:00:00","19.5 kW"
"2022-07-01 18:00:00","20.0 kW"
"2022-07-01 19:00:00","9.14 kW"
"2022-07-01 20:00:00","3.78 kW"
"2022-07-01 21:00:00","209 W"
"2022-07-01 22:00:00","0 W"
"2022-07-01 23:00:00","0 W"
"2022-07-02 00:00:00","0 W"
"2022-07-02 01:00:00","0 W"
"2022-07-02 02:00:00","0 W"
"2022-07-02 03:00:00","0 W"
"2022-07-02 04:00:00","0 W"
"2022-07-02 05:00:00","94.5 W"
"2022-07-02 06:00:00","2.66 kW"
"2022-07-02 07:00:00","9.05 kW"
"2022-07-02 08:00:00","19.2 kW"
"2022-07-02 09:00:00","30.2 kW"
"2022-07-02 10:00:00","38.7 kW"
"2022-07-02 11:00:00","43.9 kW"
"2022-07-02 12:00:00","47.1 kW"
"2022-07-02 13:00:00","48.2 kW"
"2022-07-02 14:00:00","46.8 kW"
"2022-07-02 15:00:00","42.9 kW"
"2022-07-02 16:00:00","37.3 kW"
"2022-07-02 17:00:00","29.4 kW"
"2022-07-02 18:00:00","20.1 kW"
"2022-07-02 19:00:00","11.1 kW"
"2022-07-02 20:00:00","3.74 kW"
"2022-07-02 21:00:00","205 W"
"2022-07-02 22:00:00","0 W"
"2022-07-02 23:00:00","0 W"
"2022-07-03 00:00:00","0 W"
"2022-07-03 01:00:00","0 W"
"2022-07-03 02:00:00","0 W"
"2022-07-03 03:00:00","0 W"
"2022-07-03 04:00:00","0 W"
"2022-07-03 05:00:00","83.4 W"
"2022-07-03 06:00:00","2.58 kW"
"2022-07-03 07:00:00","8.66 kW"
"2022-07-03 08:00:00","18.7 kW"
"2022-07-03 09:00:00","29.9 kW"
"2022-07-03 10:00:00","37.9 kW"
"2022-07-03 11:00:00","42.6 kW"
"2022-07-03 12:00:00","46.2 kW"
"2022-07-03 13:00:00","47.3 kW"
"2022-07-03 14:00:00","46.4 kW"
"2022-07-03 15:00:00","42.4 kW"
"2022-07-03 16:00:00","32.7 kW"
"2022-07-03 17:00:00","26.3 kW"
"2022-07-03 18:00:00","21.9 kW"
"2022-07-03 19:00:00","11.5 kW"
"2022-07-03 20:00:00","3.58 kW"
"2022-07-03 21:00:00","246 W"
"2022-07-03 22:00:00","0 W"
"2022-07-03 23:00:00","0 W"
"2022-07-04 00:00:00","0 W"
"2022-07-04 01:00:00","0 W"
"2022-07-04 02:00:00","0 W"
"2022-07-04 03:00:00","0 W"
"2022-07-04 04:00:00","0 W"
"2022-07-04 05:00:00","101 W"
"2022-07-04 06:00:00","2.63 kW"
"2022-07-04 07:00:00","8.09 kW"
"2022-07-04 08:00:00","16.7 kW"
"2022-07-04 09:00:00","29.2 kW"
"2022-07-04 10:00:00","37.2 kW"
"2022-07-04 11:00:00","41.0 kW"
"2022-07-04 12:00:00","40.1 kW"
"2022-07-04 13:00:00","42.6 kW"
"2022-07-04 14:00:00","42.3 kW"
"2022-07-04 15:00:00","39.7 kW"
"2022-07-04 16:00:00","36.7 kW"
"2022-07-04 17:00:00","28.6 kW"
"2022-07-04 18:00:00","21.4 kW"
"2022-07-04 19:00:00","12.8 kW"
"2022-07-04 20:00:00","4.67 kW"
"2022-07-04 21:00:00","271 W"
"2022-07-04 22:00:00","0 W"
"2022-07-04 23:00:00","0 W"
"2022-07-05 00:00:00","0 W"
"2022-07-05 01:00:00","0 W"
"2022-07-05 02:00:00","0 W"
"2022-07-05 03:00:00","0 W"
"2022-07-05 04:00:00","0 W"
"2022-07-05 05:00:00","87.0 W"
"2022-07-05 06:00:00","2.48 kW"
"2022-07-05 07:00:00","8.54 kW"
"2022-07-05 08:00:00","18.4 kW"
"2022-07-05 09:00:00","29.4 kW"
"2022-07-05 10:00:00","37.5 kW"
"2022-07-05 11:00:00","42.6 kW"
"2022-07-05 12:00:00","45.4 kW"
"2022-07-05 13:00:00","49.7 kW"
"2022-07-05 14:00:00","47.6 kW"
"2022-07-05 15:00:00","43.4 kW"
"2022-07-05 16:00:00","37.2 kW"
"2022-07-05 17:00:00","28.8 kW"
"2022-07-05 18:00:00","13.6 kW"
"2022-07-05 19:00:00","11.8 kW"
"2022-07-05 20:00:00","3.35 kW"
"2022-07-05 21:00:00","175 W"
"2022-07-05 22:00:00","0 W"
"2022-07-05 23:00:00","0 W"
"2022-07-06 00:00:00","0 W"
"2022-07-06 01:00:00","0 W"
"2022-07-06 02:00:00","0 W"
"2022-07-06 03:00:00","0 W"
"2022-07-06 04:00:00","0 W"
"2022-07-06 05:00:00","100 W"
"2022-07-06 06:00:00","2.54 kW"
"2022-07-06 07:00:00","8.53 kW"
"2022-07-06 08:00:00","18.4 kW"
"2022-07-06 09:00:00","29.0 kW"
"2022-07-06 10:00:00","35.6 kW"
"2022-07-06 11:00:00","41.5 kW"
"2022-07-06 12:00:00","36.7 kW"
"2022-07-06 13:00:00","44.2 kW"
"2022-07-06 14:00:00","48.1 kW"
"2022-07-06 15:00:00","41.5 kW"
"2022-07-06 16:00:00","31.3 kW"
"2022-07-06 17:00:00","16.0 kW"
"2022-07-06 18:00:00","11.8 kW"
"2022-07-06 19:00:00","8.83 kW"
"2022-07-06 20:00:00","5.25 kW"
"2022-07-06 21:00:00","160 W"
"2022-07-06 22:00:00","0 W"
"2022-07-06 23:00:00","0 W"
"2022-07-07 00:00:00","0 W"
"2022-07-07 01:00:00","0 W"
"2022-07-07 02:00:00","0 W"
"2022-07-07 03:00:00","0 W"
"2022-07-07 04:00:00","0 W"
"2022-07-07 05:00:00","35.7 W"
"2022-07-07 06:00:00","1.53 kW"
"2022-07-07 07:00:00","6.14 kW"
"2022-07-07 08:00:00","8.27 kW"
"2022-07-07 09:00:00","7.47 kW"
"2022-07-07 10:00:00","17.6 kW"
"2022-07-07 11:00:00","20.4 kW"
"2022-07-07 12:00:00","9.49 kW"
