"Time","EDM: Balance"
"2022-09-01 00:00:00","-10.9 kW"
"2022-09-01 01:00:00","-10.4 kW"
"2022-09-01 02:00:00","-11.1 kW"
"2022-09-01 03:00:00","-10.4 kW"
"2022-09-01 04:00:00","-11.0 kW"
"2022-09-01 05:00:00","-10.8 kW"
"2022-09-01 06:00:00","-12.2 kW"
"2022-09-01 07:00:00","-11.4 kW"
"2022-09-01 08:00:00","-8.40 kW"
"2022-09-01 09:00:00","-2.20 kW"
"2022-09-01 10:00:00","666 W"
"2022-09-01 11:00:00","1.95 kW"
"2022-09-01 12:00:00","2.22 kW"
"2022-09-01 13:00:00","2.10 kW"
"2022-09-01 14:00:00","4.53 kW"
"2022-09-01 15:00:00","4.58 kW"
"2022-09-01 16:00:00","3.77 kW"
"2022-09-01 17:00:00","1.07 kW"
"2022-09-01 18:00:00","-489 W"
"2022-09-01 19:00:00","-433 W"
"2022-09-01 20:00:00","-5.04 kW"
"2022-09-01 21:00:00","-9.68 kW"
"2022-09-01 22:00:00","-10.6 kW"
"2022-09-01 23:00:00","-9.61 kW"
"2022-09-02 00:00:00","-9.79 kW"
"2022-09-02 01:00:00","-10.5 kW"
"2022-09-02 02:00:00","-9.78 kW"
"2022-09-02 03:00:00","-9.90 kW"
"2022-09-02 04:00:00","-9.85 kW"
"2022-09-02 05:00:00","-11.4 kW"
"2022-09-02 06:00:00","-10.9 kW"
"2022-09-02 07:00:00","-10.3 kW"
"2022-09-02 08:00:00","-8.76 kW"
"2022-09-02 09:00:00","-1.03 kW"
"2022-09-02 10:00:00","825 W"
"2022-09-02 11:00:00","3.06 kW"
"2022-09-02 12:00:00","12.9 kW"
"2022-09-02 13:00:00","16.4 kW"
"2022-09-02 14:00:00","17.5 kW"
"2022-09-02 15:00:00","13.9 kW"
"2022-09-02 16:00:00","8.86 kW"
"2022-09-02 17:00:00","1.23 kW"
"2022-09-02 18:00:00","-228 W"
"2022-09-02 19:00:00","-774 W"
"2022-09-02 20:00:00","-4.43 kW"
"2022-09-02 21:00:00","-6.28 kW"
"2022-09-02 22:00:00","-9.46 kW"
"2022-09-02 23:00:00","-10.4 kW"
"2022-09-03 00:00:00","-9.90 kW"
"2022-09-03 01:00:00","-9.88 kW"
"2022-09-03 02:00:00","-10.2 kW"
"2022-09-03 03:00:00","-10.1 kW"
"2022-09-03 04:00:00","-9.48 kW"
"2022-09-03 05:00:00","-10.4 kW"
"2022-09-03 06:00:00","-9.92 kW"
"2022-09-03 07:00:00","-8.33 kW"
"2022-09-03 08:00:00","-6.52 kW"
"2022-09-03 09:00:00","-7.79 kW"
"2022-09-03 10:00:00","-4.86 kW"
"2022-09-03 11:00:00","2.60 kW"
"2022-09-03 12:00:00","4.08 kW"
"2022-09-03 13:00:00","752 W"
"2022-09-03 14:00:00","8.59 kW"
"2022-09-03 15:00:00","4.46 kW"
"2022-09-03 16:00:00","298 W"
"2022-09-03 17:00:00","46.9 W"
"2022-09-03 18:00:00","548 W"
"2022-09-03 19:00:00","-250 W"
