"Time","EDM: Balance"
"1661983200000","-10855.25"
"1661986800000","-10371.5"
"1661990400000","-11136.895833333334"
"1661994000000","-10445.729166666666"
"1661997600000","-11042.958333333334"
"1662001200000","-10765.0625"
"1662004800000","-12199.3125"
"1662008400000","-11357.916666666666"
"1662012000000","-8402.0625"
"1662015600000","-2199.9791666666665"
"1662019200000","666.0833333333334"
"1662022800000","1946.7083333333333"
"1662026400000","2221.1666666666665"
"1662030000000","2100.5416666666665"
"1662033600000","4531.958333333333"
"1662037200000","4575.3125"
"1662040800000","3767.6875"
"1662044400000","1067.2916666666667"
"1662048000000","-488.6666666666667"
"1662051600000","-433.25"
"1662055200000","-5044.166666666667"
"1662058800000","-9685"
"1662062400000","-10613.625"
"1662066000000","-9611.645833333334"
"1662069600000","-9790.854166666666"
"1662073200000","-10460.416666666666"
"1662076800000","-9775.625"
"1662080400000","-9895.958333333334"
"1662084000000","-9852.354166666666"
"1662087600000","-11377.5625"
"1662091200000","-10910.666666666666"
"1662094800000","-10336.166666666666"
"1662098400000","-8762.041666666666"
"1662102000000","-1031.8958333333333"
"1662105600000","825.1041666666666"
"1662109200000","3064.5833333333335"
"1662112800000","12860.020833333334"
"1662116400000","16355"
"1662120000000","17546.020833333332"
"1662123600000","13883.083333333334"
"1662127200000","8860.25"
"1662130800000","1228.4166666666667"
"1662134400000","-228.3125"
"1662138000000","-773.625"
"1662141600000","-4427.395833333333"
"1662145200000","-6277.5625"
"1662148800000","-9458.083333333334"
"1662152400000","-10353.916666666666"
"1662156000000","-9902.541666666666"
"1662159600000","-9877.0625"
"1662163200000","-10178.916666666666"
"1662166800000","-10112.145833333334"
"1662170400000","-9480.145833333334"
"1662174000000","-10375.041666666666"
"1662177600000","-9918.541666666666"
"1662181200000","-8329.5625"
"1662184800000","-6521.625"
"1662188400000","-7792.0625"
"1662192000000","-4862.854166666667"
"1662195600000","2601.4791666666665"
"1662199200000","4081.5"
"1662202800000","751.6666666666666"
"1662206400000","8591.333333333334"
"1662210000000","4461.6875"
"1662213600000","298.0833333333333"
"1662217200000","46.916666666666664"
"1662220800000","547.75"
"1662224400000","-250.10416666666666"
"1662228000000","-2939.5208333333335"
"1662231600000","-6331.5"
"1662235200000","-9281.958333333334"
"1662238800000","-9737.833333333334"
"1662242400000","-10166.520833333334"
"1662246000000","-9663.375"
"1662249600000","-10178.833333333334"
"1662253200000","-9786.6875"
"1662256800000","-9981.395833333334"
"1662260400000","-10606.520833333334"
"1662264000000","-10533.125"
"1662267600000","-8477.645833333334"
"1662271200000","-3478.6041666666665"
"1662274800000","329.8958333333333"
"1662278400000","4909.354166666667"
"1662282000000","9618.916666666666"
"1662285600000","24002.333333333332"
"1662289200000","21821.5625"
"1662292800000","25856.270833333332"
"1662296400000","19986.5625"
"1662300000000","13141.8125"
"1662303600000","3753.7708333333335"
"1662307200000","-32.791666666666664"
"1662310800000","-291.5"
"1662314400000","-831.875"
"1662318000000","-4610.541666666667"
"1662321600000","-6211.354166666667"
"1662325200000","-9086.083333333334"
"1662328800000","-10037.333333333334"
"1662332400000","-10041.604166666666"
"1662336000000","-10095.520833333334"
"1662339600000","-10330.916666666666"
"1662343200000","-9766.9375"
"1662346800000","-10255.520833333334"
"1662350400000","-12082.458333333334"
"1662354000000","-10165.520833333334"
"1662357600000","-10470.854166666666"
"1662361200000","-14315.5"
"1662364800000","-4349.75"
"1662368400000","1335.5625"
"1662372000000","4762.416666666667"
"1662375600000","11278.229166666666"
"1662379200000","11733.020833333334"
"1662382800000","10772.979166666666"
"1662386400000","3341.9375"
"1662390000000","260.3541666666667"
"1662393600000","-734.75"
"1662397200000","-3579.8541666666665"
"1662400800000","-5527.9375"
"1662404400000","-9275.229166666666"
"1662408000000","-10328.6875"
"1662411600000","-10565.564853556485"
"1662415200000","-10007.645833333334"
"1662418800000","-10292.208333333334"
"1662422400000","-10392.583333333334"
"1662426000000","-10112.395833333334"
"1662429600000","-10843.145833333334"
"1662433200000","-10424.208333333334"
"1662436800000","-11537.5"
"1662440400000","-11064.770833333334"
"1662444000000","-8468.520833333334"
"1662447600000","-6324.6875"
"1662451200000","412.125"
"1662454800000","1139.8333333333333"
