"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              03/05/2022 06:00 - 03/05/2022 07:00,"BZN|DE-LU","PT60M",236.26,"EUR"
              03/05/2022 07:00 - 03/05/2022 08:00,"BZN|DE-LU","PT60M",255.96,"EUR"
              03/05/2022 08:00 - 03/05/2022 09:00,"BZN|DE-LU","PT60M",255.96,"EUR"
              03/05/2022 09:00 - 03/05/2022 10:00,"BZN|DE-LU","PT60M",232.70,"EUR"
              03/05/2022 10:00 - 03/05/2022 11:00,"BZN|DE-LU","PT60M",206.07,"EUR"
              03/05/2022 11:00 - 03/05/2022 12:00,"BZN|DE-LU","PT60M",200.24,"EUR"
              03/05/2022 12:00 - 03/05/2022 13:00,"BZN|DE-LU","PT60M",195.79,"EUR"
              03/05/2022 13:00 - 03/05/2022 14:00,"BZN|DE-LU","PT60M",197.29,"EUR"
              03/05/2022 14:00 - 03/05/2022 15:00,"BZN|DE-LU","PT60M",194.89,"EUR"
              03/05/2022 15:00 - 03/05/2022 16:00,"BZN|DE-LU","PT60M",195.54,"EUR"
              03/05/2022 16:00 - 03/05/2022 17:00,"BZN|DE-LU","PT60M",197.99,"EUR"
              03/05/2022 17:00 - 03/05/2022 18:00,"BZN|DE-LU","PT60M",218.99,"EUR"
              03/05/2022 18:00 - 03/05/2022 19:00,"BZN|DE-LU","PT60M",249.96,"EUR"
              03/05/2022 19:00 - 03/05/2022 20:00,"BZN|DE-LU","PT60M",269.94,"EUR"
              03/05/2022 20:00 - 03/05/2022 21:00,"BZN|DE-LU","PT60M",270.23,"EUR"
              03/05/2022 21:00 - 03/05/2022 22:00,"BZN|DE-LU","PT60M",261.77,"EUR"
              03/05/2022 22:00 - 03/05/2022 23:00,"BZN|DE-LU","PT60M",253.21,"EUR"
              03/05/2022 23:00 - 04/05/2022 00:00,"BZN|DE-LU","PT60M",228.94,"EUR"
              04/05/2022 00:00 - 04/05/2022 01:00,"BZN|DE-LU","PT60M",206.00,"EUR"
              04/05/2022 01:00 - 04/05/2022 02:00,"BZN|DE-LU","PT60M",200.00,"EUR"
              04/05/2022 02:00 - 04/05/2022 03:00,"BZN|DE-LU","PT60M",200.34,"EUR"
              04/05/2022 03:00 - 04/05/2022 04:00,"BZN|DE-LU","PT60M",201.12,"EUR"
              04/05/2022 04:00 - 04/05/2022 05:00,"BZN|DE-LU","PT60M",201.14,"EUR"
              04/05/2022 05:00 - 04/05/2022 06:00,"BZN|DE-LU","PT60M",224.32,"EUR"
              04/05/2022 06:00 - 04/05/2022 07:00,"BZN|DE-LU","PT60M",256.58,"EUR"
              04/05/2022 07:00 - 04/05/2022 08:00,"BZN|DE-LU","PT60M",296.90,"EUR"
              04/05/2022 08:00 - 04/05/2022 09:00,"BZN|DE-LU","PT60M",280.10,"EUR"
              04/05/2022 09:00 - 04/05/2022 10:00,"BZN|DE-LU","PT60M",255.09,"EUR"
              04/05/2022 10:00 - 04/05/2022 11:00,"BZN|DE-LU","PT60M",226.01,"EUR"
              04/05/2022 11:00 - 04/05/2022 12:00,"BZN|DE-LU","PT60M",209.41,"EUR"
              04/05/2022 12:00 - 04/05/2022 13:00,"BZN|DE-LU","PT60M",204.64,"EUR"
              04/05/2022 13:00 - 04/05/2022 14:00,"BZN|DE-LU","PT60M",202.15,"EUR"
              04/05/2022 14:00 - 04/05/2022 15:00,"BZN|DE-LU","PT60M",199.51,"EUR"
              04/05/2022 15:00 - 04/05/2022 16:00,"BZN|DE-LU","PT60M",200.60,"EUR"
              04/05/2022 16:00 - 04/05/2022 17:00,"BZN|DE-LU","PT60M",206.24,"EUR"
              04/05/2022 17:00 - 04/05/2022 18:00,"BZN|DE-LU","PT60M",231.16,"EUR"
              04/05/2022 18:00 - 04/05/2022 19:00,"BZN|DE-LU","PT60M",249.98,"EUR"
              04/05/2022 19:00 - 04/05/2022 20:00,"BZN|DE-LU","PT60M",275.44,"EUR"
              04/05/2022 20:00 - 04/05/2022 21:00,"BZN|DE-LU","PT60M",281.49,"EUR"
              04/05/2022 21:00 - 04/05/2022 22:00,"BZN|DE-LU","PT60M",263.37,"EUR"
              04/05/2022 22:00 - 04/05/2022 23:00,"BZN|DE-LU","PT60M",246.90,"EUR"
              04/05/2022 23:00 - 05/05/2022 00:00,"BZN|DE-LU","PT60M",232.47,"EUR"
              05/05/2022 00:00 - 05/05/2022 01:00,"BZN|DE-LU","PT60M",225.20,"EUR"
              05/05/2022 01:00 - 05/05/2022 02:00,"BZN|DE-LU","PT60M",208.44,"EUR"
              05/05/2022 02:00 - 05/05/2022 03:00,"BZN|DE-LU","PT60M",208.12,"EUR"
              05/05/2022 03:00 - 05/05/2022 04:00,"BZN|DE-LU","PT60M",205.09,"EUR"
              05/05/2022 04:00 - 05/05/2022 05:00,"BZN|DE-LU","PT60M",204.90,"EUR"
              05/05/2022 05:00 - 05/05/2022 06:00,"BZN|DE-LU","PT60M",220.77,"EUR"
              05/05/2022 06:00 - 05/05/2022 07:00,"BZN|DE-LU","PT60M",254.96,"EUR"
              05/05/2022 07:00 - 05/05/2022 08:00,"BZN|DE-LU","PT60M",275.06,"EUR"
              05/05/2022 08:00 - 05/05/2022 09:00,"BZN|DE-LU","PT60M",268.02,"EUR"
              05/05/2022 09:00 - 05/05/2022 10:00,"BZN|DE-LU","PT60M",252.96,"EUR"
              05/05/2022 10:00 - 05/05/2022 11:00,"BZN|DE-LU","PT60M",235.03,"EUR"
              05/05/2022 11:00 - 05/05/2022 12:00,"BZN|DE-LU","PT60M",232.09,"EUR"
              05/05/2022 12:00 - 05/05/2022 13:00,"BZN|DE-LU","PT60M",224.50,"EUR"
              05/05/2022 13:00 - 05/05/2022 14:00,"BZN|DE-LU","PT60M",215.04,"EUR"
              05/05/2022 14:00 - 05/05/2022 15:00,"BZN|DE-LU","PT60M",210.90,"EUR"
