Total Demand [kW],PV Gen [kW],Day-ahead Price [EUR/kWh]
-13.475520833333334,0.0,0.08156999999999999
-13.472824267782427,0.0,0.07590000000000001
-14.105166666666666,0.0,0.07373
-12.782541666666667,0.0,0.07201
-13.03375,0.0,0.07124
-14.648875,0.0,0.07396
-12.692708333333334,0.2282875,0.08491
-12.445041666666667,3.0676666666666663,0.09595000000000001
-12.820583333333333,6.7653875,0.0985
-13.93925,8.017025,0.0964
-8.890627615062762,12.262807531380751,0.09495999999999999
-10.394854166666667,11.767520833333334,0.09651
-4.6630416666666665,16.0745875,0.09351000000000001
-6.395708333333333,18.49472916666667,0.09018999999999999
-14.2304375,8.341633333333332,0.08567
-12.445794979079496,10.710912133891213,0.085
-5.7931875,14.923358333333333,0.08568
-8.065604166666667,9.63775833333333,0.09591
-7.104604166666667,9.914858333333333,0.09998
-9.193041666666666,6.316820833333333,0.10377
-11.949208333333335,3.1594124999999997,0.10034
-12.9866875,0.09104166666666669,0.09951
-12.762458333333335,0.0,0.09817000000000001
-12.466541666666666,0.0,0.09198999999999999
-13.040854166666666,0.0,0.09076999999999999
-12.284375,0.0,0.08536
-12.487791666666666,0.0,0.08218
-13.194770833333333,0.0,0.08234999999999999
-12.020041666666666,0.0,0.08322
-11.458583333333333,0.053262500000000004,0.08668000000000001
-9.276395833333334,3.648595833333333,0.102
-4.1761875,10.1705625,0.112
0.10972916666666668,20.278883333333333,0.1225
1.5357083333333332,30.046304166666665,0.10723999999999999
2.8618125,31.460966666666668,0.10254
9.559020833333333,42.8431625,0.1
12.918895833333334,37.7993375,0.09961
14.427604166666667,36.07973333333333,0.08984
16.3925,38.083854166666654,0.08237
19.7949375,41.10138333333333,0.08253
14.198791666666667,32.9808125,0.08256999999999999
10.514979166666667,28.032408333333333,0.09423000000000001
2.963125,19.14016666666667,0.09998
0.16654166666666664,11.114737499999999,0.11
-0.8570833333333334,2.9812541666666665,0.10948999999999999
-3.936875,0.09599166666666666,0.10554999999999999
-8.700520833333334,0.0,0.10502
-8.5206875,0.0,0.09998
-11.126833333333334,0.0,0.09264
-11.260209205020919,0.0,0.08439
-11.471395833333334,0.0,0.0809
-11.724791666666667,0.0,0.07757
-10.710666666666667,0.0,0.07404999999999999
-10.894895833333335,0.1948708333333333,0.07406
-8.876895833333334,3.335545833333333,0.07897
-2.782625,9.698862499999999,0.08145000000000001
0.128,19.343925,0.08303
1.938375,28.035866666666664,0.07934000000000001
8.27,37.206900000000005,0.07406
25.559125,42.8249625,0.07
27.03527083333333,40.798916666666656,0.06704
32.023625,46.738225,0.065
32.18970833333333,46.340199999999996,0.06659999999999999
27.35635416666667,41.67839166666667,0.073
17.02629166666667,31.2709,0.0752
2.7442291666666665,15.141041666666666,0.08545
-0.6051875,6.074258333333333,0.09544
-0.2445833333333333,6.279733333333334,0.10696
-0.7574166666666666,2.8655583333333334,0.10743000000000001
-8.138104166666666,0.1125125,0.10697
-9.1679375,0.0,0.10695
-9.086,0.0,0.1
-13.150375,0.0,0.09418000000000001
-12.149604166666666,0.0,0.08674
-11.804104166666667,0.0,0.08005
-12.7579375,0.0,0.07561
-12.114541666666666,0.0,0.07503
-12.369208333333335,0.28144583333333334,0.07399
-9.846020833333334,3.1779,0.0745
-4.979541666666667,8.818716666666667,0.07542
0.050125,15.650954166666667,0.07868
0.3138958333333333,16.490762500000002,0.07708
2.353833333333333,25.77077083333333,0.07524
0.4718333333333333,20.697745833333332,0.07803
-0.2365625,12.187208333333334,0.07801999999999999
-0.08645833333333333,7.074858333333333,0.074
0.4005416666666667,17.130470833333334,0.06926
4.0131041666666665,29.975841666666668,0.06906999999999999
5.044229166666667,23.52899583333333,0.07703
0.7874375,6.658412500000001,0.08306999999999999
-0.0001875,7.695029166666666,0.09384999999999999
-0.25075,5.238466666666667,0.09954
-3.0505,2.273404166666667,0.1
-8.0389375,0.22949583333333332,0.10209
-8.856354166666666,0.0,0.10492
-10.609125,0.0,0.09573000000000001
-12.072583333333334,0.0,0.08155
-11.441359832635982,0.0,0.07522
-12.021041666666665,0.0,0.07401
-12.31775,0.0,0.07201
-12.459833333333334,0.0,0.07154
-12.036104166666666,0.13695833333333335,0.07409
-10.0959375,1.7113041666666666,0.09157
-13.0356875,1.9621291666666665,0.10193
-15.676791666666666,4.9080875,0.10568999999999999
-8.7111875,10.2119375,0.10355
-11.6363179916318,10.110422594142259,0.101
-9.844333333333333,13.633220833333333,0.10009
-6.6284375,15.090645833333333,0.09791
-8.589854166666665,13.545204166666666,0.09423000000000001
1.0957708333333334,31.856908333333333,0.08893000000000001
0.9312291666666667,25.7220375,0.08393
-0.05216666666666666,21.220291666666668,0.0878
-0.7859583333333334,21.21575,0.09936
-0.2837291666666667,18.63795,0.1056
-4.788645833333333,8.496016666666666,0.11499
-11.258666666666667,3.824425,0.118
-15.220895833333334,0.2116875,0.11073999999999999
-13.8498125,0.0,0.10396
-13.5560625,0.0,0.09458
-13.358229166666666,0.0,0.0868
-13.146736401673639,0.0,0.07809
-12.822229166666666,0.0,0.07314
-12.3825,0.0,0.07087
-12.035125,0.0,0.06794
-12.671125,0.20486666666666667,0.07158
-10.9366875,2.6481958333333333,0.08254
-5.5723125,9.511529166666667,0.09659000000000001
-5.816520833333333,15.2722625,0.09706000000000001
-6.308791666666667,16.472862499999998,0.08729
-19.80410416666667,4.0197125,0.0768
-15.14407949790795,8.322928870292886,0.07034
-18.399979166666668,6.435104166666667,0.06007
-17.8235,7.430583333333333,0.05991
-20.71697916666667,5.866391666666666,0.05851
